Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  2.661384E-01,  1.606638E-01,  6.084699E+00, 1.000,  249
  0.000000,  0.000000,  3.463026E-01,  1.609160E-01, -5.807327E+01, 1.000,   81
  0.000000,  0.000000,  3.463807E-01,  1.607533E-01, -5.825781E+01, 1.000,   82
  0.000000,  0.000000,  6.273191E-01,  2.515575E-01, -8.905815E+01, 1.000,   80
  0.000000,  0.000000,  6.278059E-01,  2.516686E-01, -9.095385E+01, 1.000,   72
  0.000000,  2.500000,  2.673904E-01,  1.607239E-01,  6.635926E+00, 1.000,  248
  0.000000,  2.500000,  3.515626E-01,  1.653833E-01, -6.188071E+01, 1.000,   83
  0.000000,  2.500000,  3.516128E-01,  1.654476E-01, -6.256380E+01, 1.000,   81
  0.000000,  2.500000,  6.237011E-01,  2.567282E-01, -1.022426E+02, 1.000,   74
  0.000000,  2.500000,  6.585546E-01,  2.609910E-01, -9.949688E+01, 1.000,   80
  0.000000,  5.000000,  2.691873E-01,  1.616792E-01,  6.027494E+00, 1.000,  241
  0.000000,  5.000000,  3.573943E-01,  1.704676E-01, -6.708798E+01, 1.000,   81
  0.000000,  5.000000,  3.574324E-01,  1.705085E-01, -6.684411E+01, 1.000,   81
  0.000000,  5.000000,  6.178989E-01,  2.622588E-01, -1.113371E+02, 1.000,   74
  0.000000,  5.000000,  6.943341E-01,  2.711540E-01, -1.167832E+02, 1.000,   79
  0.000000,  7.500000,  2.715745E-01,  1.630865E-01,  5.449732E+00, 1.000,  242
  0.000000,  7.500000,  3.637927E-01,  1.766993E-01, -7.233805E+01, 1.000,   81
  0.000000,  7.500000,  3.638464E-01,  1.767130E-01, -7.248855E+01, 1.000,   79
  0.000000,  7.500000,  6.094439E-01,  2.687327E-01, -1.211164E+02, 1.000,   70
  0.000000,  7.500000,  7.347849E-01,  2.818090E-01, -1.327916E+02, 1.000,   79
  0.000000, 10.000000,  2.746046E-01,  1.649214E-01,  4.955860E+00, 1.000,  244
  0.000000, 10.000000,  3.709060E-01,  1.817671E-01, -7.672158E+01, 1.000,   80
  0.000000, 10.000000,  3.711270E-01,  1.818202E-01, -7.957810E+01, 1.000,   79
  0.000000, 10.000000,  5.951911E-01,  2.754360E-01, -1.339497E+02, 1.000,   73
  0.000000, 10.000000,  7.788317E-01,  2.944469E-01, -1.281491E+02, 1.000,   77
  0.000000, 12.500000,  2.780783E-01,  1.679364E-01,  4.077217E+00, 1.000,  237
  0.000000, 12.500000,  3.783679E-01,  1.911243E-01, -8.388537E+01, 1.000,   79
  0.000000, 12.500000,  3.784115E-01,  1.910447E-01, -8.331143E+01, 1.000,   80
  0.000000, 12.500000,  5.768378E-01,  2.806140E-01, -1.383041E+02, 1.000,   77
  0.000000, 12.500000,  8.323751E-01,  3.103771E-01, -1.231237E+02, 1.000,   75
  0.000000, 15.000000,  2.822422E-01,  1.707571E-01,  4.590743E+00, 1.000,  222
  0.000000, 15.000000,  3.864667E-01,  2.000442E-01, -8.920474E+01, 1.000,   79
  0.000000, 15.000000,  3.865331E-01,  1.999131E-01, -8.918143E+01, 1.000,   81
  0.000000, 15.000000,  5.493373E-01,  2.843370E-01, -1.293349E+02, 1.000,   78
  0.000000, 15.000000,  8.943604E-01,  3.347602E-01, -1.114672E+02, 1.000,   75
  0.000000, 17.500000,  2.871187E-01,  1.743884E-01,  5.440125E+00, 1.000,  143
  0.000000, 17.500000,  3.948267E-01,  2.106546E-01, -9.181184E+01, 1.000,   78
  0.000000, 17.500000,  3.948463E-01,  2.108560E-01, -9.418954E+01, 1.000,   79
  0.000000, 17.500000,  5.144714E-01,  2.833239E-01, -1.222486E+02, 1.000,   78
  0.000000, 17.500000,  9.724019E-01,  3.633997E-01, -1.814613E+02, 1.000,   73
  0.000000, 20.000000,  2.927336E-01,  1.781734E-01,  7.157730E+00, 1.000,   87
  0.000000, 20.000000,  4.036514E-01,  2.227206E-01, -1.051396E+02, 1.000,   83
  0.000000, 20.000000,  4.037473E-01,  2.237704E-01, -1.041675E+02, 1.000,   77
  0.000000, 20.000000,  4.725871E-01,  2.722556E-01, -8.461397E+01, 1.000,   77
  0.000000, 20.000000,  1.062756E+00,  3.919855E-01, -2.301169E+02, 1.000,   71
  0.000000, 22.500000,  2.992265E-01,  1.840476E-01,  6.209828E+00, 1.000,   83
  0.000000, 22.500000,  4.122354E-01,  2.278089E-01, -8.106502E+01, 1.000,   82
  0.000000, 22.500000,  4.122699E-01,  2.272328E-01, -8.101111E+01, 1.000,   79
  0.000000, 22.500000,  4.271389E-01,  2.466656E-01, -7.985599E+00, 1.000,   75
  0.000000, 22.500000,  1.172100E+00,  4.428410E-01, -2.780805E+02, 1.000,   72
  0.000000, 25.000000,  3.067156E-01,  1.887534E-01,  1.015397E+01, 1.000,   83
  0.000000, 25.000000,  3.857918E-01,  2.172668E-01,  5.287960E+01, 1.000,   51
  0.000000, 25.000000,  3.860396E-01,  2.175417E-01,  5.129621E+01, 1.000,   25
  0.000000, 25.000000,  4.122698E-01,  2.071671E-01, -5.403196E+01, 1.000,   77
  0.000000, 25.000000,  4.122813E-01,  2.070701E-01, -5.431092E+01, 1.000,   76
  0.000000, 25.000000,  4.227509E-01,  2.002212E-01, -3.841704E+01, 1.000,   78
  0.000000, 25.000000,  4.227818E-01,  1.982505E-01, -3.782992E+01, 1.000,   80
  0.000000, 25.000000,  1.304376E+00,  4.922560E-01, -4.388782E+02, 1.000,   67
