0 1 As 2 1 3D
1 1 As 2 2 3D
2 1 As 2 3 3D
3 1 As 2 4 3D
4 1 As 2 5 3D
5 1 As 0 1 4S
6 1 As 1 1 4P
7 1 As 1 2 4P
8 1 As 1 3 4P
9 1 As 2 1 4D
10 1 As 2 2 4D
11 1 As 2 3 4D
12 1 As 2 4 4D
13 1 As 2 5 4D
14 1 As 0 1 5S
15 1 As 1 1 5P
16 1 As 1 2 5P
17 1 As 1 3 5P
18 2 Ga 2 1 3D
19 2 Ga 2 2 3D
20 2 Ga 2 3 3D
21 2 Ga 2 4 3D
22 2 Ga 2 5 3D
23 2 Ga 0 1 4S
24 2 Ga 1 1 4P
25 2 Ga 1 2 4P
26 2 Ga 1 3 4P
27 2 Ga 2 1 4D
28 2 Ga 2 2 4D
29 2 Ga 2 3 4D
30 2 Ga 2 4 4D
31 2 Ga 2 5 4D
32 2 Ga 0 1 5S
33 2 Ga 1 1 5P
34 2 Ga 1 2 5P
35 2 Ga 1 3 5P
