# E (eV)   doscond(E)
   -5.207207207    0.522371304
   -5.198198198    0.520915840
   -5.189189189    0.519499953
   -5.180180180    0.518121809
   -5.171171171    0.516779699
   -5.162162162    0.515472022
   -5.153153153    0.514197279
   -5.144144144    0.512954059
   -5.135135135    0.511741036
   -5.126126126    0.510556957
   -5.117117117    0.509400639
   -5.108108108    0.508270964
   -5.099099099    0.507166870
   -5.090090090    0.506087348
   -5.081081081    0.505031440
   -5.072072072    0.503998233
   -5.063063063    0.502986855
   -5.054054054    0.501996475
   -5.045045045    0.501026298
   -5.036036036    0.500075562
   -5.027027027    0.499143538
   -5.018018018    0.498229526
   -5.009009009    0.497332854
   -5.000000000    0.496452875
   -4.990990991    0.495588968
   -4.981981982    0.494740535
   -4.972972973    0.493906998
   -4.963963964    0.493087801
   -4.954954955    0.492282407
   -4.945945946    0.491490298
   -4.936936937    0.490710973
   -4.927927928    0.489943948
   -4.918918919    0.489188753
   -4.909909910    0.488444936
   -4.900900901    0.487712058
   -4.891891892    0.486989692
   -4.882882883    0.486277428
   -4.873873874    0.485574866
   -4.864864865    0.484881618
   -4.855855856    0.484197309
   -4.846846847    0.483521574
   -4.837837838    0.482854061
   -4.828828829    0.482194426
   -4.819819820    0.481542337
   -4.810810811    0.480897470
   -4.801801802    0.480259513
   -4.792792793    0.479628160
   -4.783783784    0.479003117
   -4.774774775    0.478384097
   -4.765765766    0.477770822
   -4.756756757    0.477163022
   -4.747747748    0.476560435
   -4.738738739    0.475962808
   -4.729729730    0.475369895
   -4.720720721    0.474781456
   -4.711711712    0.474197260
   -4.702702703    0.473617084
   -4.693693694    0.473040709
   -4.684684685    0.472467926
   -4.675675676    0.471898532
   -4.666666667    0.471332330
   -4.657657658    0.470769129
   -4.648648649    0.470208745
   -4.639639640    0.469651002
   -4.630630631    0.469095727
   -4.621621622    0.468542756
   -4.612612613    0.467991929
   -4.603603604    0.467443092
   -4.594594595    0.466896100
   -4.585585586    0.466350808
   -4.576576577    0.465807082
   -4.567567568    0.465264791
   -4.558558559    0.464723808
   -4.549549550    0.464184015
   -4.540540541    0.463645296
   -4.531531532    0.463107543
   -4.522522523    0.462570651
   -4.513513514    0.462034520
   -4.504504505    0.461499055
   -4.495495495    0.460964169
   -4.486486486    0.460429775
   -4.477477477    0.459895794
   -4.468468468    0.459362150
   -4.459459459    0.458828773
   -4.450450450    0.458295595
   -4.441441441    0.457762556
   -4.432432432    0.457229596
   -4.423423423    0.456696663
   -4.414414414    0.456163707
   -4.405405405    0.455630683
   -4.396396396    0.455097550
   -4.387387387    0.454564270
   -4.378378378    0.454030810
   -4.369369369    0.453497139
   -4.360360360    0.452963232
   -4.351351351    0.452429067
   -4.342342342    0.451894623
   -4.333333333    0.451359887
   -4.324324324    0.450824844
   -4.315315315    0.450289488
   -4.306306306    0.449753812
   -4.297297297    0.449217813
   -4.288288288    0.448681493
   -4.279279279    0.448144855
   -4.270270270    0.447607906
   -4.261261261    0.447070655
   -4.252252252    0.446533115
   -4.243243243    0.445995301
   -4.234234234    0.445457230
   -4.225225225    0.444918925
   -4.216216216    0.444380407
   -4.207207207    0.443841703
   -4.198198198    0.443302842
   -4.189189189    0.442763854
   -4.180180180    0.442224773
   -4.171171171    0.441685634
   -4.162162162    0.441146477
   -4.153153153    0.440607343
   -4.144144144    0.440068275
   -4.135135135    0.439529319
   -4.126126126    0.438990524
   -4.117117117    0.438451941
   -4.108108108    0.437913625
   -4.099099099    0.437375632
   -4.090090090    0.436838022
   -4.081081081    0.436300858
   -4.072072072    0.435764206
   -4.063063063    0.435228136
   -4.054054054    0.434692721
   -4.045045045    0.434158039
   -4.036036036    0.433624171
   -4.027027027    0.433091205
   -4.018018018    0.432559230
   -4.009009009    0.432028347
   -4.000000000    0.431498658
   -3.990990991    0.430970275
   -3.981981982    0.430443319
   -3.972972973    0.429917919
   -3.963963964    0.429394216
   -3.954954955    0.428872362
   -3.945945946    0.428352524
   -3.936936937    0.427834887
   -3.927927928    0.427319655
   -3.918918919    0.426807053
   -3.909909910    0.426297335
   -3.900900901    0.425790786
   -3.891891892    0.425287730
   -3.882882883    0.424788535
   -3.873873874    0.424293623
   -3.864864865    0.423803486
   -3.855855856    0.423318694
   -3.846846847    0.422839916
   -3.837837838    0.422367945
   -3.828828829    0.421903727
   -3.819819820    0.421448400
   -3.810810811    0.421003346
   -3.801801802    0.420570259
   -3.792792793    0.420151238
   -3.783783784    0.419748914
   -3.774774775    0.419366620
   -3.765765766    0.419008634
   -3.756756757    0.418680532
   -3.747747748    0.418389689
   -3.738738739    0.418146038
   -3.729729730    0.417963216
   -3.720720721    0.417860379
   -3.711711712    0.417865130
   -3.702702703    0.418018458
   -3.693693694    0.418383422
   -3.684684685    0.419061254
   -3.675675676    0.420223200
