    21    12.50270464    12.38061044     0.11934810     0.05501345     0.14486479     0.12364959     0.04096634     0.11638619     5.27114778     5.22916571     0.01957717    -0.02315597    -0.04803682    -0.00785664    -0.00918603     0.03346645    -0.01773620    -0.01232326     0.00148014    -0.00133424
    22    12.43193937    12.31398352     0.12199162     0.05417871     0.14845090     0.12642201     0.03985527     0.11914490     5.24216064     5.20191246     0.02085511    -0.02322687    -0.04978157    -0.00768717    -0.00926608     0.03590532    -0.01862192    -0.01437178     0.00133320    -0.00110865
    23    12.30267520    12.18907202     0.12416137     0.05299583     0.15136348     0.12862801     0.03847839     0.12143952     5.18339209     5.14463691     0.02187163    -0.02315755    -0.05118981    -0.00745655    -0.00931996     0.03820269    -0.01937816    -0.01645502     0.00117015    -0.00085885
    24    12.11826312    12.00912624     0.12583251     0.05147824     0.15356271     0.13023751     0.03685048     0.12324421     5.09582464     5.05821599     0.02258565    -0.02294629    -0.05222310    -0.00716777    -0.00934886     0.04030518    -0.01998111    -0.01853711     0.00099426    -0.00058856
    25    11.88240187    11.77775149     0.12698285     0.04964224     0.15501457     0.13122494     0.03498824     0.12453593     4.98074696     4.94383674     0.02295958    -0.02259226    -0.05284674    -0.00682430    -0.00935428     0.04215665    -0.02040545    -0.02058041     0.00080893    -0.00030186
    26    11.59908565    11.49885731     0.12759351     0.04750699     0.15569174     0.13156984     0.03291031     0.12529493     4.83974113     4.80298670     0.02296030    -0.02209554    -0.05303069    -0.00643007    -0.00933805     0.04369872    -0.02062392    -0.02254650     0.00061766    -0.00000318
    27    11.27710855    11.18110785     0.12765240     0.04512770     0.15558099     0.13126597     0.03066820     0.12550609     4.67698258     4.63976758     0.02256810    -0.02146653    -0.05275724    -0.00599548    -0.00930287     0.04485832    -0.02060861    -0.02437387     0.00042654     0.00029871
    28    10.91225807    10.82034016     0.12715055     0.04246491     0.15466746     0.13029689     0.02822401     0.12516343     4.49020998     4.45183564     0.02175142    -0.02069060    -0.05200116    -0.00551358    -0.00925016     0.04560515    -0.02032644    -0.02607493     0.00023398     0.00060696
    29    10.51310645    10.42501656     0.12607771     0.03957509     0.15294374     0.12866054     0.02563010     0.12425335     4.28375541     4.24347026     0.02049863    -0.01977861    -0.05075189    -0.00499485    -0.00918283     0.04585751    -0.01973869    -0.02759022     0.00004597     0.00091251
    30    10.08428784     9.99973071     0.12443330     0.03648677     0.15041502     0.12636217     0.02291159     0.12277370     4.06011327     4.01713058     0.01880355    -0.01873526    -0.04900601    -0.00444456    -0.00910359     0.04554960    -0.01880252    -0.02888887    -0.00013414     0.00121022
    31     9.63046445     9.54911637     0.12222233     0.03323029     0.14709545     0.12341425     0.02009484     0.12072758     3.82191485     3.77543427     0.01666853    -0.01756673    -0.04676824    -0.00386816    -0.00901523     0.04461245    -0.01746786    -0.02994426    -0.00030318     0.00149501
    32     9.15627684     9.07779751     0.11945548     0.02983745     0.14300822     0.11983646     0.01720724     0.11812352     3.57188393     3.52111495     0.01410487    -0.01628076    -0.04405166    -0.00327126    -0.00892052     0.04297225    -0.01567508    -0.03073470    -0.00045821     0.00176195
    33     8.66629714     8.59034109     0.11614925     0.02634124     0.13818536     0.11565561     0.01427694     0.11497562     3.31279097     3.25697749     0.01113290    -0.01488670    -0.04087777    -0.00265959    -0.00882213     0.04054771    -0.01335198    -0.03124392    -0.00059658     0.00200636
    34     8.16498551     8.09121283     0.11232590     0.02277550     0.13266746     0.11090546     0.01133262     0.11130356     3.04740731     2.98585248     0.00778196    -0.01339557    -0.03727628    -0.00203892    -0.00872259     0.03724609    -0.01040962    -0.03146140    -0.00071594     0.00222396
    35     7.65665037     7.58473652     0.10801331     0.01917456     0.12650319     0.10562625     0.00840314     0.10713251     2.77846068     2.71055114     0.00408995    -0.01182001    -0.03328468    -0.00141500    -0.00862418     0.03295759    -0.00673666    -0.03138248    -0.00081431     0.00241091
