  300.00 -8.00000  3.01365e+20  3.01424e+20  3.01544e+20 -2.54585e+18 -2.55739e+18  2.52228e+18
  300.00 -7.98799  3.03240e+20  3.03278e+20  3.03399e+20 -2.55214e+18 -2.55165e+18  2.50164e+18
  300.00 -7.97598  3.05108e+20  3.05123e+20  3.05245e+20 -2.55199e+18 -2.53851e+18  2.47467e+18
  300.00 -7.96396  3.06967e+20  3.06960e+20  3.07081e+20 -2.54521e+18 -2.51791e+18  2.44149e+18
  300.00 -7.95195  3.08815e+20  3.08785e+20  3.08906e+20 -2.53177e+18 -2.49001e+18  2.40235e+18
  300.00 -7.93994  3.10651e+20  3.10598e+20  3.10719e+20 -2.51179e+18 -2.45510e+18  2.35768e+18
  300.00 -7.92793  3.12472e+20  3.12397e+20  3.12517e+20 -2.48556e+18 -2.41367e+18  2.30801e+18
  300.00 -7.91592  3.14276e+20  3.14182e+20  3.14301e+20 -2.45351e+18 -2.36633e+18  2.25402e+18
  300.00 -7.90390  3.16063e+20  3.15951e+20  3.16067e+20 -2.41619e+18 -2.31383e+18  2.19649e+18
  300.00 -7.89189  3.17830e+20  3.17702e+20  3.17815e+20 -2.37431e+18 -2.25702e+18  2.13630e+18
  300.00 -7.87988  3.19576e+20  3.19434e+20  3.19545e+20 -2.32867e+18 -2.19690e+18  2.07440e+18
  300.00 -7.86787  3.21300e+20  3.21148e+20  3.21256e+20 -2.28022e+18 -2.13451e+18  2.01184e+18
  300.00 -7.85586  3.23003e+20  3.22843e+20  3.22946e+20 -2.22998e+18 -2.07101e+18  1.94972e+18
  300.00 -7.84384  3.24684e+20  3.24519e+20  3.24617e+20 -2.17908e+18 -2.00761e+18  1.88917e+18
  300.00 -7.83183  3.26343e+20  3.26177e+20  3.26269e+20 -2.12871e+18 -1.94557e+18  1.83138e+18
  300.00 -7.81982  3.27983e+20  3.27818e+20  3.27903e+20 -2.08011e+18 -1.88616e+18  1.77753e+18
  300.00 -7.80781  3.29604e+20  3.29444e+20  3.29521e+20 -2.03451e+18 -1.83068e+18  1.72880e+18
  300.00 -7.79580  3.31210e+20  3.31057e+20  3.31125e+20 -1.99313e+18 -1.78035e+18  1.68630e+18
  300.00 -7.78378  3.32802e+20  3.32660e+20  3.32717e+20 -1.95709e+18 -1.73632e+18  1.65105e+18
  300.00 -7.77177  3.34385e+20  3.34255e+20  3.34300e+20 -1.92736e+18 -1.69959e+18  1.62392e+18
  300.00 -7.75976  3.35962e+20  3.35847e+20  3.35877e+20 -1.90471e+18 -1.67098e+18  1.60557e+18
  300.00 -7.74775  3.37535e+20  3.37437e+20  3.37451e+20 -1.88963e+18 -1.65101e+18  1.59642e+18
