  300.00 -12.00000 -6.29583e-15 -1.42711e+08 
  300.00 -11.97160 -1.88865e-14 -4.28110e+08 
  300.00 -11.94320 -5.66568e-14 -1.28427e+09 
  300.00 -11.91480 -1.69962e-13 -3.85260e+09 
  300.00 -11.88640 -5.09859e-13 -1.15572e+10 
  300.00 -11.85800 -1.52950e-12 -3.46699e+10 
  300.00 -11.82960 -4.58827e-12 -1.04004e+11 
  300.00 -11.80120 -1.37641e-11 -3.11998e+11 
  300.00 -11.77280 -4.12902e-11 -9.35945e+11 
  300.00 -11.74440 -1.23864e-10 -2.80769e+12 
  300.00 -11.71600 -3.71575e-10 -8.42265e+12 
  300.00 -11.68760 -1.11467e-09 -2.52667e+13 
  300.00 -11.65920 -3.34383e-09 -7.57962e+13 
  300.00 -11.63080 -1.00310e-08 -2.27377e+14 
  300.00 -11.60240 -3.00912e-08 -6.82091e+14 
  300.00 -11.57400 -9.02676e-08 -2.04614e+15 
  300.00 -11.54560 -2.70776e-07 -6.13780e+15 
  300.00 -11.51720 -8.12166e-07 -1.84097e+16 
  300.00 -11.48880 -2.43529e-06 -5.52019e+16 
  300.00 -11.46040 -7.29581e-06 -1.65377e+17 
  300.00 -11.43200 -2.17996e-05 -4.94143e+17 
  300.00 -11.40360 -6.46324e-05 -1.46505e+18 
  300.00 -11.37520 -1.87441e-04 -4.24882e+18 
  300.00 -11.34680 -5.13604e-04 -1.16421e+19 
  300.00 -11.31840 -1.25422e-03 -2.84299e+19 
  300.00 -11.29000 -2.61666e-03 -5.93130e+19 
  300.00 -11.26160 -4.67246e-03 -1.05913e+20 
  300.00 -11.23320 -7.58461e-03 -1.71924e+20 
  300.00 -11.20480 -1.17804e-02 -2.67032e+20 
  300.00 -11.17640 -1.58641e-02 -3.59598e+20 
  300.00 -11.14800 -1.90275e-02 -4.31306e+20 
  300.00 -11.11960 -2.32041e-02 -5.25979e+20 
  300.00 -11.09120 -2.96204e-02 -6.71420e+20 
  300.00 -11.06280 -3.37414e-02 -7.64832e+20 
  300.00 -11.03440 -3.53787e-02 -8.01946e+20 
  300.00 -11.00600 -3.97688e-02 -9.01459e+20 
  300.00 -10.97760 -5.11066e-02 -1.15846e+21 
  300.00 -10.94920 -6.33909e-02 -1.43691e+21 
  300.00 -10.92080 -6.80290e-02 -1.54204e+21 
  300.00 -10.89240 -6.74720e-02 -1.52942e+21 
  300.00 -10.86400 -7.39731e-02 -1.67678e+21 
  300.00 -10.83560 -8.38480e-02 -1.90062e+21 
  300.00 -10.80720 -9.09770e-02 -2.06222e+21 
  300.00 -10.77880 -1.00000e-01 -2.26676e+21 
  300.00 -10.75040 -1.10332e-01 -2.50096e+21 
  300.00 -10.72200 -1.07996e-01 -2.44800e+21 
  300.00 -10.69360 -1.06510e-01 -2.41432e+21 
  300.00 -10.66520 -1.22540e-01 -2.77768e+21 
  300.00 -10.63680 -1.49459e-01 -3.38785e+21 
  300.00 -10.60840 -1.65560e-01 -3.75283e+21 
  300.00 -10.58000 -1.64593e-01 -3.73091e+21 
  300.00 -10.55160 -1.66926e-01 -3.78379e+21 
  300.00 -10.52320 -1.75089e-01 -3.96882e+21 
  300.00 -10.49480 -1.78593e-01 -4.04826e+21 
  300.00 -10.46640 -1.95932e-01 -4.44128e+21 
  300.00 -10.43800 -2.31467e-01 -5.24677e+21 
  300.00 -10.40960 -2.41122e-01 -5.46562e+21 
  300.00 -10.38120 -2.18897e-01 -4.96184e+21 
  300.00 -10.35280 -2.02920e-01 -4.59969e+21 
  300.00 -10.32440 -2.25324e-01 -5.10753e+21 
  300.00 -10.29600 -2.59623e-01 -5.88499e+21 
