     0   -98.64556776   -52.57390170   -52.57390168   -52.57390155   -10.09069401    -3.74811509    -3.74811508    -3.74811508    -1.66368534    -1.66368534     5.30491732     5.30491732     5.30491732     5.30491732     5.30491732     5.30491732     5.30491732     5.30491732     5.30491732
     1   -98.64557597   -52.57411833   -52.57396153   -52.57371983   -10.08985826    -3.74866311    -3.74782827    -3.74753305    -1.66430161    -1.66346206     5.30420275     5.30439199     5.30480117     5.30489201     5.30491784     5.30494462     5.30505033     5.30541359     5.30552859
     2   -98.64558249   -52.57437290   -52.57414367   -52.57357599   -10.08735783    -3.75030878    -3.74665640    -3.74609790    -1.66615142    -1.66279255     5.30292829     5.30393368     5.30465683     5.30487701     5.30490919     5.30496349     5.30527119     5.30606690     5.30622706
     3   -98.64554239   -52.57466829   -52.57445502   -52.57348342   -10.08320885    -3.75305668    -3.74458530    -3.74382273    -1.66923734    -1.66167770     5.30118279     5.30351725     5.30449445     5.30486901     5.30488518     5.30497722     5.30553933     5.30696178     5.30698353
     4   -98.64540732   -52.57500208   -52.57490454   -52.57346607   -10.07742433    -3.75691378    -3.74160544    -3.74071671    -1.67356207    -1.66011874     5.29930082     5.30312553     5.30434115     5.30484687     5.30486483     5.30499656     5.30577047     5.30773126     5.30800982
     5   -98.64515400   -52.57550044   -52.57536361   -52.57355452   -10.06999974    -3.76188822    -3.73771387    -3.73678473    -1.67912663    -1.65811694     5.29768937     5.30277037     5.30422635     5.30480117     5.30486722     5.30502525     5.30590646     5.30837127     5.30902222
     6   -98.64480552   -52.57624753   -52.57573484   -52.57377849   -10.06090311    -3.76798772    -3.73291500    -3.73202772    -1.68592864    -1.65567333     5.29672358     5.30250493     5.30416826     5.30476223     5.30486931     5.30506368     5.30592918     5.30878926     5.30976468
     7   -98.64443541   -52.57714611   -52.57609411   -52.57415790   -10.05007514    -3.77521743    -3.72721997    -3.72644352    -1.69396121    -1.65278857     5.29666190     5.30240992     5.30416996     5.30474800     5.30486364     5.30510192     5.30585187     5.30888019     5.31002142
     8   -98.64415021   -52.57819203   -52.57642243   -52.57469516   -10.03744130    -3.78357783    -3.72064450    -3.72002793    -1.70321270    -1.64946296     5.29758383     5.30256152     5.30422842     5.30476864     5.30485570     5.30511784     5.30570272     5.30857376     5.30965901
     9   -98.64405419   -52.57937824   -52.57670975   -52.57537118   -10.02293350    -3.79306281    -3.71320582    -3.71277550    -1.71366737    -1.64569674     5.29936299     5.30299836     5.30434775     5.30481544     5.30485614     5.30509458     5.30550825     5.30785468     5.30867377
    10   -98.64420697   -52.58069685   -52.57695947   -52.57614704   -10.00651490    -3.80365849    -3.70491924    -3.70468015    -1.72530671    -1.64149037     5.30168434     5.30369949     5.30453846     5.30486696     5.30487187     5.30503225     5.30528159     5.30677227     5.30720729
    11   -98.64458917   -52.58214094   -52.57718941   -52.57697174    -9.98819968    -3.81534307    -3.69579520    -3.69573531    -1.73811102    -1.63684498     5.30410574     5.30457904     5.30480413     5.30490311     5.30490680     5.30494810     5.30502130     5.30543661     5.30552192
    12   -98.64508999   -52.58370542   -52.57779493   -52.57742855    -9.96806045    -3.82808770    -3.68593414    -3.68583748    -1.75206082    -1.63176269     5.30393779     5.30400134     5.30472446     5.30486938     5.30493103     5.30494411     5.30513139     5.30549953     5.30615454
    13   -98.64552526   -52.58538672   -52.57858168   -52.57770979    -9.94621950    -3.84185853    -3.67526980    -3.67504276    -1.76713766    -1.62624664     5.30263640     5.30274204     5.30440910     5.30482263     5.30494308     5.30498623     5.30548667     5.30630151     5.30744247
    14   -98.64568467   -52.58718163   -52.57932510   -52.57806087    -9.92282457    -3.85661946    -3.66373637    -3.66340172    -1.78332412    -1.62030094     5.30149674     5.30208457     5.30413127     5.30482310     5.30495012     5.30502192     5.30580773     5.30684281     5.30778938
    15   -98.64539703   -52.58908637   -52.58005086   -52.57849792    -9.89801492    -3.87233544    -3.65132958    -3.65090168    -1.80060292    -1.61393026     5.30069398     5.30188263     5.30395453     5.30486689     5.30496799     5.30504850     5.30592920     5.30703769     5.30742435
    16   -98.64459497   -52.59109673   -52.58080676   -52.57902874    -9.87188656    -3.88897534    -3.63804676    -3.63753098    -1.81895546    -1.60713932     5.30027826     5.30183381     5.30364426     5.30492725     5.30494757     5.30507074     5.30565524     5.30688550     5.30726638
    17   -98.64335822   -52.59321030   -52.58163597   -52.57966840    -9.84446667    -3.90651423    -3.62388529    -3.62328473    -1.83836028    -1.59993237     5.30023562     5.30148817     5.30276634     5.30478992     5.30496320     5.30509266     5.30579543     5.30648094     5.30767433
    18   -98.64191910   -52.59543071   -52.58255062   -52.58045328    -9.81570522    -3.92493424    -3.60884114    -3.60816929    -1.85879192    -1.59231277     5.30030905     5.30050410     5.30251826     5.30472597     5.30495130     5.30508550     5.30594976     5.30600096     5.30835399
    19   -98.64062359   -52.59777282   -52.58352793   -52.58143391    -9.78548725    -3.94422396    -3.59290921    -3.59220303    -1.88022066    -1.58428286     5.29935592     5.30100939     5.30275306     5.30470872     5.30485619     5.30504592     5.30563558     5.30588153     5.30884953
    20   -98.63985386   -52.60026689   -52.58452695   -52.58265108    -9.75366329    -3.96437654    -3.57608517    -3.57541338    -1.90261316    -1.57584421     5.29936399     5.30171287     5.30320412     5.30472512     5.30472713     5.30501726     5.30540891     5.30566162     5.30875267
    21   -98.63993030   -52.60295931   -52.58550862   -52.58411415    -9.72008968    -3.98538685    -3.55836766    -3.55783131    -1.92593391    -1.56699816     5.30054375     5.30264107     5.30379421     5.30470893     5.30477372     5.30498752     5.30522160     5.30537162     5.30789393
    22   -98.64101856   -52.60590771   -52.58644965   -52.58579143    -9.68466768    -4.00724833    -3.53976000    -3.53948485    -1.95014689    -1.55774640     5.30279587     5.30385135     5.30444780     5.30480866     5.30485002     5.30494854     5.30503854     5.30508541     5.30634127
    23   -98.64306802   -52.60916968   -52.58761313   -52.58734919    -9.64737026    -4.02995020    -3.52039264    -3.52027133    -1.97521698    -1.54809167     5.30435069     5.30486794     5.30487732     5.30490624     5.30494363     5.30495975     5.30508555     5.30535237     5.30577516
