-8.00000  0.08178 
-7.98800  0.08237 
-7.97600  0.08296 
-7.96400  0.08356 
-7.95200  0.08417 
-7.94000  0.08479 
-7.92800  0.08542 
-7.91600  0.08607 
-7.90400  0.08672 
-7.89200  0.08739 
-7.88000  0.08807 
-7.86800  0.08877 
-7.85600  0.08948 
-7.84400  0.09021 
-7.83200  0.09096 
-7.82000  0.09172 
-7.80800  0.09250 
-7.79600  0.09330 
-7.78400  0.09412 
-7.77200  0.09496 
-7.76000  0.09582 
-7.74800  0.09669 
-7.73600  0.09759 
-7.72400  0.09850 
-7.71200  0.09944 
-7.70000  0.10039 
-7.68800  0.10136 
-7.67600  0.10235 
-7.66400  0.10336 
-7.65200  0.10439 
-7.64000  0.10545 
-7.62800  0.10655 
-7.61600  0.10767 
-7.60400  0.10885 
-7.59200  0.11007 
-7.58000  0.11137 
-7.56800  0.11275 
-7.55600  0.11422 
-7.54400  0.11582 
-7.53200  0.11757 
-7.52000  0.11949 
-7.50800  0.12164 
-7.49600  0.12407 
-7.48400  0.12687 
-7.47200  0.13021 
-7.46000  0.13435 
-7.44800  0.13970 
-7.43600  0.14670 
-7.42400  0.15556 
-7.41200  0.16605 
-7.40000  0.17768 
-7.38800  0.19138 
-7.37600  0.21812 
-7.36400  0.25365 
-7.35200  0.25062 
-7.34000  0.24361 
-7.32800  0.25145 
-7.31600  0.26053 
-7.30400  0.26713 
-7.29200  0.27083 
-7.28000  0.27193 
-7.26800  0.27111 
-7.25600  0.26921 
-7.24400  0.26704 
-7.23200  0.26523 
-7.22000  0.26418 
-7.20800  0.26399 
-7.19600  0.26460 
-7.18400  0.26580 
-7.17200  0.26734 
-7.16000  0.26905 
-7.14800  0.27084 
-7.13600  0.27277 
-7.12400  0.27508 
-7.11200  0.27816 
-7.10000  0.28252 
-7.08800  0.28862 
-7.07600  0.29659 
-7.06400  0.30588 
-7.05200  0.31533 
-7.04000  0.32367 
-7.02800  0.33032 
-7.01600  0.33562 
-7.00400  0.34040 
-6.99200  0.34532 
-6.98000  0.35064 
-6.96800  0.35629 
-6.95600  0.36208 
-6.94400  0.36786 
-6.93200  0.37356 
-6.92000  0.37924 
-6.90800  0.38507 
-6.89600  0.39125 
-6.88400  0.39796 
-6.87200  0.40529 
-6.86000  0.41320 
-6.84800  0.42156 
-6.83600  0.43016 
-6.82400  0.43885 
-6.81200  0.44746 
-6.80000  0.45582 
-6.78800  0.46363 
-6.77600  0.47047 
-6.76400  0.47598 
-6.75200  0.48000 
-6.74000  0.48270 
-6.72800  0.48456 
-6.71600  0.48620 
-6.70400  0.48815 
-6.69200  0.49086 
-6.68000  0.49467 
-6.66800  0.49996 
-6.65600  0.50715 
-6.64400  0.51656 
-6.63200  0.52816 
-6.62000  0.54128 
-6.60800  0.55469 
-6.59600  0.56697 
-6.58400  0.57722 
-6.57200  0.58541 
-6.56000  0.59233 
-6.54800  0.59902 
-6.53600  0.60624 
-6.52400  0.61424 
-6.51200  0.62282 
-6.50000  0.63160 
-6.48800  0.64020 
-6.47600  0.64832 
-6.46400  0.65583 
-6.45200  0.66275 
-6.44000  0.66922 
-6.42800  0.67548 
-6.41600  0.68179 
-6.40400  0.68824 
-6.39200  0.69472 
-6.38000  0.70084 
-6.36800  0.70611 
-6.35600  0.71015 
-6.34400  0.71289 
-6.33200  0.71462 
-6.32000  0.71584 
-6.30800  0.71696 
-6.29600  0.71808 
-6.28400  0.71893 
-6.27200  0.71907 
-6.26000  0.71816 
-6.24800  0.71615 
-6.23600  0.71330 
-6.22400  0.71001 
-6.21200  0.70667 
-6.20000  0.70348 
-6.18800  0.70046 
-6.17600  0.69748 
-6.16400  0.69443 
-6.15200  0.69121 
-6.14000  0.68781 
-6.12800  0.68427 
-6.11600  0.68068 
-6.10400  0.67712 
-6.09200  0.67366 
-6.08000  0.67034 
-6.06800  0.66715 
-6.05600  0.66407 
-6.04400  0.66105 
-6.03200  0.65807 
-6.02000  0.65510 
-6.00800  0.65215 
-5.99600  0.64922 
-5.98400  0.64633 
-5.97200  0.64351 
-5.96000  0.64078 
-5.94800  0.63814 
-5.93600  0.63559 
-5.92400  0.63312 
-5.91200  0.63071 
-5.90000  0.62834 
-5.88800  0.62600 
-5.87600  0.62370 
-5.86400  0.62142 
-5.85200  0.61921 
-5.84000  0.61710 
-5.82800  0.61513 
-5.81600  0.61335 
-5.80400  0.61180 
-5.79200  0.61051 
-5.78000  0.60951 
-5.76800  0.60876 
-5.75600  0.60823 
-5.74400  0.60784 
-5.73200  0.60750 
-5.72000  0.60713 
-5.70800  0.60666 
-5.69600  0.60607 
-5.68400  0.60538 
-5.67200  0.60469 
-5.66000  0.60419 
-5.64800  0.60466 
-5.63600  0.60742 
-5.62400  0.61215 
-5.61200  0.61399 
-5.60000  0.60754 
-5.58800  0.59441 
-5.57600  0.58062 
-5.56400  0.56908 
-5.55200  0.55921 
-5.54000  0.55008 
-5.52800  0.54137 
-5.51600  0.53309 
-5.50400  0.52526 
-5.49200  0.51786 
-5.48000  0.51089 
-5.46800  0.50434 
-5.45600  0.49822 
-5.44400  0.49252 
-5.43200  0.48722 
-5.42000  0.48231 
-5.40800  0.47778 
-5.39600  0.47362 
-5.38400  0.46983 
-5.37200  0.46644 
-5.36000  0.46349 
-5.34800  0.46105 
-5.33600  0.45920 
-5.32400  0.45803 
-5.31200  0.45762 
-5.30000  0.45807 
-5.28800  0.45947 
-5.27600  0.46188 
-5.26400  0.46538 
-5.25200  0.47003 
-5.24000  0.47588 
-5.22800  0.48301 
-5.21600  0.49147 
