  300.00 -8.00000  1.57809e+20  1.57809e+20  1.57809e+20 -1.01936e+19 -1.01935e+19  1.01935e+19
  300.00 -7.97595  1.25701e+20  1.25701e+20  1.25701e+20 -5.10539e+18 -5.10538e+18  5.10538e+18
  300.00 -7.95190  1.02880e+20  1.02880e+20  1.02880e+20 -7.06345e+17 -7.06339e+17  7.06342e+17
  300.00 -7.92786  9.72870e+19  9.72870e+19  9.72870e+19  1.64787e+18  1.64786e+18 -1.64786e+18
  300.00 -7.90381  1.14038e+20  1.14038e+20  1.14038e+20  1.59566e+18  1.59565e+18 -1.59565e+18
  300.00 -7.87976  1.37577e+20  1.37577e+20  1.37577e+20 -8.21728e+17 -8.21739e+17  8.21740e+17
  300.00 -7.85571  1.46505e+20  1.46505e+20  1.46505e+20 -4.19178e+18 -4.19178e+18  4.19178e+18
  300.00 -7.83166  1.34391e+20  1.34391e+20  1.34391e+20 -5.63541e+18 -5.63540e+18  5.63540e+18
  300.00 -7.80762  1.20072e+20  1.20072e+20  1.20072e+20 -2.88216e+18 -2.88215e+18  2.88215e+18
  300.00 -7.78357  1.22384e+20  1.22384e+20  1.22384e+20  3.19896e+18  3.19897e+18 -3.19897e+18
  300.00 -7.75952  1.39978e+20  1.39978e+20  1.39978e+20  9.25433e+18  9.25434e+18 -9.25434e+18
  300.00 -7.73547  1.76441e+20  1.76441e+20  1.76441e+20  1.08903e+19  1.08903e+19 -1.08903e+19
  300.00 -7.71142  2.31094e+20  2.31094e+20  2.31094e+20  6.42111e+18  6.42111e+18 -6.42111e+18
  300.00 -7.68737  2.80240e+20  2.80240e+20  2.80240e+20 -1.13323e+18 -1.13323e+18  1.13323e+18
  300.00 -7.66333  2.95262e+20  2.95262e+20  2.95262e+20 -5.78930e+18 -5.78930e+18  5.78931e+18
  300.00 -7.63928  2.70645e+20  2.70645e+20  2.70645e+20 -5.02035e+18 -5.02035e+18  5.02036e+18
  300.00 -7.61523  2.42054e+20  2.42054e+20  2.42054e+20 -1.31148e+18 -1.31148e+18  1.31149e+18
  300.00 -7.59118  2.33961e+20  2.33961e+20  2.33961e+20 -4.36009e+16 -4.35911e+16  4.35976e+16
  300.00 -7.56713  2.26682e+20  2.26682e+20  2.26682e+20 -4.00417e+18 -4.00415e+18  4.00415e+18
  300.00 -7.54309  1.92778e+20  1.92778e+20  1.92778e+20 -9.38410e+18 -9.38408e+18  9.38409e+18
  300.00 -7.51904  1.44818e+20  1.44818e+20  1.44818e+20 -9.83172e+18 -9.83171e+18  9.83171e+18
  300.00 -7.49499  1.14571e+20  1.14571e+20  1.14571e+20 -4.77918e+18 -4.77919e+18  4.77919e+18
  300.00 -7.47094  1.17895e+20  1.17895e+20  1.17895e+20  1.41370e+18  1.41368e+18 -1.41369e+18
  300.00 -7.44689  1.45043e+20  1.45043e+20  1.45043e+20  4.77881e+18  4.77880e+18 -4.77880e+18
  300.00 -7.42285  1.74257e+20  1.74257e+20  1.74257e+20  2.57102e+18  2.57102e+18 -2.57102e+18
  300.00 -7.39880  1.89817e+20  1.89817e+20  1.89817e+20 -2.78394e+18 -2.78393e+18  2.78393e+18
  300.00 -7.37475  1.86472e+20  1.86472e+20  1.86472e+20 -5.65436e+18 -5.65435e+18  5.65436e+18
  300.00 -7.35070  1.70558e+20  1.70558e+20  1.70558e+20 -4.43965e+18 -4.43964e+18  4.43965e+18
  300.00 -7.32665  1.61445e+20  1.61445e+20  1.61445e+20 -1.42357e+18 -1.42357e+18  1.42358e+18
  300.00 -7.30261  1.74063e+20  1.74063e+20  1.74063e+20  2.68514e+18  2.68513e+18 -2.68514e+18
  300.00 -7.27856  2.08344e+20  2.08344e+20  2.08344e+20  7.65158e+18  7.65156e+18 -7.65157e+18
  300.00 -7.25451  2.60578e+20  2.60578e+20  2.60578e+20  1.03521e+19  1.03520e+19 -1.03521e+19
  300.00 -7.23046  3.20426e+20  3.20426e+20  3.20426e+20  7.79118e+18  7.79118e+18 -7.79119e+18
  300.00 -7.20641  3.51453e+20  3.51453e+20  3.51453e+20  1.84318e+18  1.84319e+18 -1.84318e+18
  300.00 -7.18236  3.32223e+20  3.32223e+20  3.32223e+20 -2.21867e+18 -2.21866e+18  2.21867e+18
  300.00 -7.15832  2.92336e+20  2.92336e+20  2.92336e+20 -2.46200e+18 -2.46199e+18  2.46200e+18
  300.00 -7.13427  2.62523e+20  2.62523e+20  2.62523e+20 -1.13056e+18 -1.13056e+18  1.13057e+18
  300.00 -7.11022  2.47001e+20  2.47001e+20  2.47001e+20  4.18575e+16  4.18492e+16 -4.18469e+16
  300.00 -7.08617  2.43497e+20  2.43497e+20  2.43497e+20  4.95570e+17  4.95564e+17 -4.95565e+17
  300.00 -7.06212  2.38884e+20  2.38884e+20  2.38884e+20 -8.75292e+16 -8.75297e+16  8.75268e+16
  300.00 -7.03808  2.37967e+20  2.37967e+20  2.37967e+20 -8.96629e+17 -8.96626e+17  8.96623e+17
  300.00 -7.01403  2.60701e+20  2.60701e+20  2.60701e+20 -1.52377e+18 -1.52377e+18  1.52377e+18
  300.00 -6.98998  3.01604e+20  3.01604e+20  3.01604e+20 -1.31187e+18 -1.31187e+18  1.31186e+18
  300.00 -6.96593  3.18462e+20  3.18462e+20  3.18462e+20  1.80495e+17  1.80491e+17 -1.80494e+17
  300.00 -6.94188  2.82292e+20  2.82292e+20  2.82292e+20  1.33951e+18  1.33951e+18 -1.33951e+18
  300.00 -6.91784  2.35925e+20  2.35925e+20  2.35925e+20  1.22806e+18  1.22806e+18 -1.22806e+18
