     0   -88.23186488   -85.33323434   -54.88016692   -54.41797727   -53.70720519   -51.49788899   -51.03320842   -50.65966985    -7.98018874    -7.88970176    -2.55651156    -2.52967556    -2.49752026    -1.52399716    -1.51706185    -0.01612422     0.00681720     0.03748149     1.75699260     1.75850805     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934     8.79316934
     1   -88.23200028   -85.33339975   -54.88018460   -54.41799764   -53.70722456   -51.49791099   -51.03323272   -50.65969382    -7.97949724    -7.88905666    -2.55642106    -2.52967450    -2.49742452    -1.52415943    -1.51703889    -0.01605569     0.00679008     0.03755175     1.75675720     1.75852738     8.78989300     8.79105297     8.79156855     8.79232676     8.79249667     8.79262413     8.79273036     8.79287397     8.79308594     8.79322445     8.79343414     8.79353859     8.79387324     8.79394452     8.79415263     8.79433238     8.79503433     8.79731135
     2   -88.23238409   -85.33386652   -54.88023842   -54.41805730   -53.70728375   -51.49797780   -51.03330380   -50.65976528    -7.97743335    -7.88712397    -2.55615550    -2.52966919    -2.49713652    -1.52468411    -1.51693506    -0.01585159     0.00670816     0.03776624     1.75592107     1.75871665     8.78680791     8.78917350     8.79009546     8.79160312     8.79188163     8.79215716     8.79229896     8.79268950     8.79305188     8.79327801     8.79370236     8.79394988     8.79455728     8.79468894     8.79509258     8.79540158     8.79699896     8.80134179
     3   -88.23295342   -85.33455193   -54.88033059   -54.41815224   -53.70738543   -51.49809108   -51.03341659   -50.65988403    -7.97402850    -7.88391179    -2.55572815    -2.52965730    -2.49665717    -1.52564290    -1.51668347    -0.01551618     0.00657011     0.03813531     1.75435694     1.75920619     8.78407696     8.78765263     8.78880410     8.79098808     8.79134385     8.79179676     8.79188685     8.79263293     8.79311190     8.79330964     8.79393701     8.79437520     8.79513324     8.79532221     8.79594714     8.79632923     8.79896649     8.80503656
     4   -88.23361552   -85.33533518   -54.88046390   -54.41827691   -53.70753294   -51.49825258   -51.03356412   -50.66005061    -7.96932989    -7.87943282    -2.55515616    -2.52963818    -2.49598997    -1.52709289    -1.51623148    -0.01505682     0.00637369     0.03867481     1.75206704     1.75999792     8.78179937     8.78648254     8.78776328     8.79045411     8.79090408     8.79146975     8.79164716     8.79261671     8.79326316     8.79334180     8.79414870     8.79477620     8.79555586     8.79578040     8.79666607     8.79710811     8.80082774     8.80822048
     5   -88.23426292   -85.33607893   -54.88064083   -54.41842572   -53.70772921   -51.49846352   -51.03373916   -50.66026625    -7.96339199    -7.87370248    -2.55445845    -2.52961326    -2.49513937    -1.52905897    -1.51555751    -0.01448502     0.00611580     0.03940505     1.74906369     1.76108374     8.78001836     8.78547744     8.78710645     8.78996366     8.79060794     8.79117939     8.79165388     8.79255571     8.79327006     8.79350749     8.79435370     8.79514135     8.79578977     8.79606522     8.79721373     8.79778055     8.80247930     8.81077316
     6   -88.23479032   -85.33665308   -54.88086268   -54.41859442   -53.70797566   -51.49872399   -51.03393601   -50.66053253    -7.95626693    -7.86673636    -2.55365398    -2.52958586    -2.49410876    -1.53154407    -1.51466040    -0.01381766     0.00579269     0.04034972     1.74534960     1.76246401     8.77873996     8.78445429     8.78689536     8.78951822     8.79048157     8.79104234     8.79183066     8.79242066     8.79323199     8.79360090     8.79447818     8.79547116     8.79584728     8.79619174     8.79753254     8.79845575     8.80384710     8.81260447
     7   -88.23511035   -85.33695592   -54.88112912   -54.41878117   -53.70827164   -51.49903282   -51.03415176   -50.66085103    -7.94799530    -7.85854743    -2.55276023    -2.52956056    -2.49289876    -1.53454355    -1.51354538    -0.01307794     0.00540043     0.04153532     1.74092381     1.76414042     8.77795529     8.78343889     8.78697709     8.78919891     8.79049353     8.79111031     8.79206984     8.79224572     8.79319536     8.79360016     8.79444189     8.79553404     8.79596277     8.79623618     8.79755882     8.79913979     8.80489224     8.81362581
     8   -88.23516552   -85.33692923   -54.88143831   -54.41898695   -53.70861455   -51.49938782   -51.03438691   -50.66122287    -7.93859942    -7.84914341    -2.55179238    -2.52954212    -2.49150563    -1.53805204    -1.51221793    -0.01229573     0.00493544     0.04299075     1.73578512     1.76611189     8.77765701     8.78258133     8.78714045     8.78913006     8.79060066     8.79134505     8.79191924     8.79243476     8.79317800     8.79355312     8.79426004     8.79527749     8.79619461     8.79631014     8.79732899     8.79963907     8.80557739     8.81374992
     9   -88.23493502   -85.33656492   -54.88178748   -54.41921514   -53.70900055   -51.49978638   -51.03464503   -50.66164832    -7.92808023    -7.83852508    -2.55076308    -2.52953434    -2.48992031    -1.54206511    -1.51068290    -0.01150669     0.00439505     0.04474696     1.72993316     1.76837316     8.77784519     8.78209100     8.78730495     8.78933337     8.79076081     8.79154489     8.79179801     8.79266877     8.79317238     8.79349844     8.79402753     8.79501681     8.79615045     8.79654679     8.79694347     8.79977476     8.80582072     8.81292412
    10   -88.23443600   -85.33590337   -54.88217377   -54.41947057   -53.70942570   -51.50022625   -51.03493171   -50.66212666    -7.91641849    -7.82668580    -2.54968274    -2.52953895    -2.48812773    -1.54657902    -1.50894526    -0.01075007     0.00377807     0.04683581     1.72336849     1.77091519     8.77853356     8.78217861     8.78757529     8.78965305     8.79094061     8.79148985     8.79200550     8.79284031     8.79317093     8.79339172     8.79393534     8.79480068     8.79592610     8.79649084     8.79672532     8.79949085     8.80549830     8.81117383
    11   -88.23371991   -85.33502470   -54.88259513   -54.41975819   -53.70988714   -51.50070628   -51.03525307   -50.66265617    -7.90358002    -7.81361248    -2.54856039    -2.52955490    -2.48610672    -1.55159033    -1.50701052    -0.01006508     0.00308521     0.04928815     1.71609234     1.77372653     8.77976836     8.78296259     8.78806845     8.78995779     8.79113540     8.79154582     8.79222756     8.79296189     8.79316030     8.79329527     8.79394539     8.79460574     8.79549085     8.79613965     8.79666369     8.79883031     8.80450234     8.80863106
    12   -88.23286519   -85.33403586   -54.88305074   -54.42008175   -53.71038382   -51.50122669   -51.03561429   -50.66323438    -7.88952389    -7.79928780    -2.54740474    -2.52957818    -2.48383054    -1.55709564    -1.50488456    -0.00948659     0.00231927     0.05213110     1.70810640     1.77679512     8.78162185     8.78441150     8.78882418     8.79029487     8.79133122     8.79181610     8.79242731     8.79301822     8.79313494     8.79330192     8.79386946     8.79441688     8.79495801     8.79573442     8.79636381     8.79787860     8.80279831     8.80553428
