     0    -8.10000000     8.10000000
     1    -8.09351288     8.09351288
     2    -8.07406713     8.07406713
     3    -8.04170957     8.04170957
     4    -7.99651839     7.99651839
     5    -7.93860333     7.93860333
     6    -7.86810597     7.86810597
     7    -7.78520015     7.78520015
     8    -7.69009250     7.69009250
     9    -7.58302312     7.58302312
    10    -7.46426654     7.46426654
    11    -7.33413277     7.33413277
    12    -7.19296882     7.19296882
    13    -7.04116050     7.04116050
    14    -6.87913475     6.87913475
    15    -6.70736252     6.70736252
    16    -6.52636250     6.52636250
    17    -6.33670574     6.33670574
    18    -6.13902154     6.13902154
    19    -5.93400493     5.93400493
    20    -5.72242609     5.72242609
    21    -5.50514237     5.50514237
    22    -5.28311347     5.28311347
    23    -5.05742080     5.05742080
    24    -4.82929175     4.82929175
    25    -4.60013039     4.60013039
    26    -4.37155540     4.37155540
    27    -4.14544630     4.14544630
    28    -3.92399800     3.92399800
    29    -3.70978131     3.70978131
    30    -3.50580356     3.50580356
    31    -3.31555553     3.31555553
    32    -3.14302040     3.14302040
    33    -2.99260650     2.99260650
    34    -2.86895578     2.86895578
    35    -2.77658784     2.77658784
    36    -2.71938398     2.71938398
    37    -2.70000000     2.70000000
    38    -2.69388363     2.69388363
    39    -2.67554838     2.67554838
    40    -2.64503579     2.64503579
    41    -2.60241497     2.60241497
    42    -2.54778247     2.54778247
    43    -2.48126206     2.48126206
    44    -2.40300442     2.40300442
    45    -2.31318684     2.31318684
    46    -2.21201277     2.21201277
    47    -2.09971142     2.09971142
    48    -1.97653718     1.97653718
    49    -1.84276908     1.84276908
    50    -1.69871014     1.69871014
    51    -1.54468671     1.54468671
    52    -1.38104770     1.38104770
    53    -1.20816381     1.20816381
    54    -1.02642666     1.02642666
    55    -0.83624796     0.83624796
    56    -0.63805853     0.63805853
    57    -0.43230731     0.43230731
    58    -0.21946041     0.21946041
    59    -0.00000000     0.00000000
    60    -0.23089145     0.23089145
    61    -0.46763936     0.46763936
    62    -0.70968218     0.70968218
    63    -0.95644581     0.95644581
    64    -1.20734497     1.20734497
    65    -1.46178453     1.46178453
    66    -1.71916100     1.71916100
    67    -1.97886392     1.97886392
    68    -2.24027729     2.24027729
    69    -2.50278108     2.50278108
    70    -2.76575264     2.76575264
    71    -3.02856825     3.02856825
    72    -3.29060453     3.29060453
    73    -3.55123996     3.55123996
    74    -3.80985634     3.80985634
    75    -4.06584026     4.06584026
    76    -4.31858457     4.31858457
    77    -4.56748977     4.56748977
    78    -4.81196549     4.81196549
    79    -5.05143186     5.05143186
    80    -5.28532090     5.28532090
    81    -5.51307784     5.51307784
    82    -5.73416247     5.73416247
    83    -5.94805040     5.94805040
    84    -6.15423432     6.15423432
    85    -6.35222517     6.35222517
    86    -6.54155335     6.54155335
    87    -6.72176979     6.72176979
    88    -6.89244703     6.89244703
    89    -7.05318026     7.05318026
    90    -7.20358822     7.20358822
    91    -7.34331416     7.34331416
    92    -7.47202668     7.47202668
    93    -7.58942048     7.58942048
    94    -7.69521712     7.69521712
    95    -7.78916565     7.78916565
    96    -7.87104324     7.87104324
    97    -7.94065569     7.94065569
    98    -7.99783788     7.99783788
    99    -8.04245419     8.04245419
   100    -8.07439878     8.07439878
   101    -8.09359590     8.09359590
   102    -8.10000000     8.10000000
