  300.00 -8.00000 -1.88075e-02 -1.88051e-02 -1.88051e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.97395 -1.87206e-02 -1.87182e-02 -1.87182e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.94790 -1.86338e-02 -1.86314e-02 -1.86314e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.92184 -1.85470e-02 -1.85446e-02 -1.85446e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.89579 -1.84601e-02 -1.84577e-02 -1.84577e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.86974 -1.83733e-02 -1.83709e-02 -1.83709e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.84369 -1.82864e-02 -1.82840e-02 -1.82840e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.81764 -1.81996e-02 -1.81972e-02 -1.81972e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.79158 -1.81128e-02 -1.81104e-02 -1.81104e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.76553 -1.80259e-02 -1.80235e-02 -1.80235e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.73948 -1.79391e-02 -1.79367e-02 -1.79367e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.71343 -1.78522e-02 -1.78498e-02 -1.78498e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.68737 -1.77654e-02 -1.77630e-02 -1.77630e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.66132 -1.76786e-02 -1.76762e-02 -1.76762e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.63527 -1.75917e-02 -1.75893e-02 -1.75893e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.60922 -1.75049e-02 -1.75025e-02 -1.75025e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.58317 -1.74180e-02 -1.74156e-02 -1.74156e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.55711 -1.73312e-02 -1.73288e-02 -1.73288e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.53106 -1.72443e-02 -1.72420e-02 -1.72420e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.50501 -1.71575e-02 -1.71551e-02 -1.71551e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.47896 -1.70707e-02 -1.70683e-02 -1.70683e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.45291 -1.69838e-02 -1.69814e-02 -1.69814e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.42685 -1.68970e-02 -1.68946e-02 -1.68946e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.40080 -1.68101e-02 -1.68078e-02 -1.68078e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.37475 -1.67233e-02 -1.67209e-02 -1.67209e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.34870 -1.66365e-02 -1.66341e-02 -1.66341e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.32265 -1.65496e-02 -1.65472e-02 -1.65472e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.29659 -1.64628e-02 -1.64604e-02 -1.64604e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.27054 -1.63759e-02 -1.63735e-02 -1.63735e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.24449 -1.62891e-02 -1.62867e-02 -1.62867e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.21844 -1.62023e-02 -1.61999e-02 -1.61999e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.19238 -1.61154e-02 -1.61130e-02 -1.61130e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.16633 -1.60286e-02 -1.60262e-02 -1.60262e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.14028 -1.59417e-02 -1.59393e-02 -1.59393e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.11423 -1.58549e-02 -1.58525e-02 -1.58525e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.08818 -1.57681e-02 -1.57657e-02 -1.57657e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.06212 -1.56812e-02 -1.56788e-02 -1.56788e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.03607 -1.55944e-02 -1.55920e-02 -1.55920e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -7.01002 -1.55075e-02 -1.55051e-02 -1.55051e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.98397 -1.54207e-02 -1.54183e-02 -1.54183e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.95792 -1.53339e-02 -1.53315e-02 -1.53315e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.93186 -1.52470e-02 -1.52446e-02 -1.52446e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.90581 -1.51602e-02 -1.51578e-02 -1.51578e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.87976 -1.50733e-02 -1.50709e-02 -1.50709e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.85371 -1.49865e-02 -1.49841e-02 -1.49841e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.82766 -1.48997e-02 -1.48973e-02 -1.48973e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.80160 -1.48128e-02 -1.48104e-02 -1.48104e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.77555 -1.47260e-02 -1.47236e-02 -1.47236e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.74950 -1.46391e-02 -1.46367e-02 -1.46367e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.72345 -1.45523e-02 -1.45499e-02 -1.45499e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.69739 -1.44655e-02 -1.44631e-02 -1.44631e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.67134 -1.43786e-02 -1.43762e-02 -1.43762e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.64529 -1.42918e-02 -1.42894e-02 -1.42894e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.61924 -1.42049e-02 -1.42025e-02 -1.42025e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.59319 -1.41181e-02 -1.41157e-02 -1.41157e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.56713 -1.40313e-02 -1.40289e-02 -1.40289e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.54108 -1.39444e-02 -1.39420e-02 -1.39420e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.51503 -1.38576e-02 -1.38552e-02 -1.38552e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.48898 -1.37707e-02 -1.37683e-02 -1.37683e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.46293 -1.36839e-02 -1.36815e-02 -1.36815e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.43687 -1.35971e-02 -1.35947e-02 -1.35947e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.41082 -1.35102e-02 -1.35078e-02 -1.35078e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.38477 -1.34234e-02 -1.34210e-02 -1.34210e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.35872 -1.33365e-02 -1.33341e-02 -1.33341e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.33267 -1.32497e-02 -1.32473e-02 -1.32473e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.30661 -1.31629e-02 -1.31605e-02 -1.31605e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.28056 -1.30760e-02 -1.30736e-02 -1.30736e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.25451 -1.29892e-02 -1.29868e-02 -1.29868e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.22846 -1.29023e-02 -1.28999e-02 -1.28999e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.20240 -1.28155e-02 -1.28131e-02 -1.28131e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.17635 -1.27287e-02 -1.27263e-02 -1.27263e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.15030 -1.26418e-02 -1.26394e-02 -1.26394e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.12425 -1.25550e-02 -1.25526e-02 -1.25526e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.09820 -1.24681e-02 -1.24657e-02 -1.24657e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.07214 -1.23813e-02 -1.23789e-02 -1.23789e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.04609 -1.22944e-02 -1.22921e-02 -1.22921e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -6.02004 -1.22076e-02 -1.22052e-02 -1.22052e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -5.99399 -1.21208e-02 -1.21184e-02 -1.21184e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
  300.00 -5.96794 -1.20339e-02 -1.20315e-02 -1.20315e-02 -1.31365e-04 -1.31365e-04  1.04683e-04
