37	 1.78874	 1.87147	-0.05552	-0.05096	 0.02540	 0.01492	-0.12540	-0.11618	 0.03422	 0.11754	-0.10469	-0.05465
38	 1.57317	 1.65595	-0.06044	-0.05233	 0.02250	 0.01514	-0.11834	-0.10911	-0.05382	-0.05004	 0.15145	 0.24641
39	 1.36814	 1.45004	-0.06398	-0.05310	 0.01962	 0.01516	-0.11091	-0.10175	-0.07409	-0.06683	 0.29580	 0.43060
40	 1.17149	 1.25139	-0.06614	-0.05324	 0.01682	 0.01489	-0.10301	-0.09400	-0.07363	-0.06506	 0.41511	 0.59395
41	 0.99200	 1.06848	-0.06683	-0.05274	 0.01427	 0.01434	-0.09498	-0.08622	-0.07063	-0.06160	 0.52418	 0.74420
42	 0.82734	 0.89783	-0.06616	-0.05155	 0.01196	 0.01349	-0.08672	-0.07830	-0.06653	-0.05761	 0.62592	 0.88488
43	 0.67997	 0.73847	-0.06419	-0.04964	 0.00991	 0.01240	-0.07828	-0.07029	-0.06171	-0.05327	 0.72013	 1.01525
44	 0.54879	 0.58254	-0.06085	-0.04688	 0.00802	 0.01107	-0.06939	-0.06194	-0.05613	-0.04843	 0.80965	 1.13880
45	 0.43905	 0.44676	-0.05647	-0.04346	 0.00643	 0.00965	-0.06074	-0.05392	-0.05032	-0.04347	 0.88748	 1.24559
46	 0.33757	 0.33346	-0.05104	-0.03931	 0.00504	 0.00816	-0.05206	-0.04594	-0.04413	-0.03820	 0.95676	 1.33979
47	 0.24577	 0.24117	-0.04465	-0.03446	 0.00383	 0.00665	-0.04339	-0.03807	-0.03761	-0.03266	 1.01717	 1.42089
48	 0.16656	 0.16666	-0.03740	-0.02894	 0.00279	 0.00517	-0.03477	-0.03033	-0.03082	-0.02685	 1.06844	 1.48855
49	 0.10185	 0.10737	-0.02940	-0.02283	 0.00190	 0.00376	-0.02625	-0.02277	-0.02378	-0.02079	 1.11035	 1.54257
50	 0.05144	 0.05951	-0.02041	-0.01591	 0.00113	 0.00239	-0.01755	-0.01512	-0.01626	-0.01426	 1.14380	 1.58415
51	 0.01920	 0.02529	-0.01122	-0.00879	 0.00053	 0.00121	-0.00933	-0.00799	-0.00885	-0.00776	 1.16621	 1.61028
52	 0.00164	 0.00262	-0.00159	-0.00132	 0.00007	 0.00015	-0.00113	-0.00130	-0.00134	-0.00105	 1.17901	 1.62295
53	-0.00346	-0.00784	 0.00824	 0.00651	-0.00027	-0.00073	 0.00647	 0.00549	 0.00642	 0.00564	-1.52764	-0.03096
54	 0.00007	-0.00398	 0.01828	 0.01448	-0.00050	-0.00144	 0.01400	 0.01180	 0.01412	 0.01258	-1.47514	-0.03164
55	 0.00715	 0.01739	 0.02836	 0.02254	-0.00061	-0.00196	 0.02125	 0.01783	 0.02185	 0.01958	-1.42213	-0.04156
56	 0.02241	 0.05190	 0.03873	 0.03090	-0.00061	-0.00230	 0.02846	 0.02378	 0.02989	 0.02690	-1.36680	-0.07291
57	 0.04778	 0.09177	 0.04850	 0.03884	-0.00051	-0.00245	 0.03509	 0.02919	 0.03759	 0.03397	-1.31348	-0.15116
58	 0.08174	 0.13793	 0.05795	 0.04658	-0.00032	-0.00240	 0.04140	 0.03429	 0.04522	 0.04101	-1.26034	-0.33877
59	 0.12264	 0.18990	 0.06696	 0.05402	-0.00004	-0.00218	 0.04737	 0.03910	 0.05275	 0.04801	-1.20754	-0.65951
60	 0.16920	 0.24680	 0.07543	 0.06107	 0.00033	-0.00178	 0.05300	 0.04361	 0.06015	 0.05493	-1.15525	-0.90808
61	 0.22232	 0.31005	 0.08356	 0.06789	 0.00079	-0.00120	 0.05848	 0.04799	 0.06766	 0.06199	-1.10164	-0.99982
62	 0.27697	 0.37390	 0.09064	 0.07389	 0.00131	-0.00048	 0.06341	 0.05193	 0.07471	 0.06865	-1.05080	-1.01018
63	 0.33405	 0.43959	 0.09691	 0.07927	 0.00190	 0.00038	 0.06800	 0.05560	 0.08155	 0.07515	-1.00082	-0.99093
64	 0.39256	 0.50612	 0.10232	 0.08397	 0.00254	 0.00137	 0.07225	 0.05903	 0.08815	 0.08144	-0.95178	-0.95887
65	 0.45160	 0.57255	 0.10680	 0.08793	 0.00324	 0.00247	 0.07617	 0.06222	 0.09449	 0.08752	-0.90374	-0.92043
66	 0.51029	 0.63795	 0.11032	 0.09112	 0.00399	 0.00367	 0.07977	 0.06518	 0.10056	 0.09335	-0.85676	-0.87836
