37	 116.03731	 116.28971	-0.39264	-0.63231	-0.18992	-0.15183	-1.30526	-1.25084	-0.11975	-0.25566	-0.31290	-0.34782	
38	 112.60296	 112.83162	-0.38040	-0.59670	-0.12601	-0.09006	-1.17404	-1.12432	-0.01040	-0.13951	-0.28287	-0.31648	
39	 108.18208	 108.38130	-0.36116	-0.55430	-0.05994	-0.02635	-1.02863	-0.98365	 0.10207	-0.01920	-0.25095	-0.28303	
40	 103.04546	 103.21128	-0.33556	-0.50679	 0.00480	 0.03594	-0.87634	-0.83591	 0.21149	 0.09869	-0.21905	-0.24945	
41	 96.98701	 97.11455	-0.30188	-0.45135	 0.07086	 0.09935	-0.71011	-0.67429	 0.32209	 0.21875	-0.18603	-0.21451	
42	 90.56562	 90.65438	-0.26259	-0.39218	 0.13234	 0.15823	-0.54422	-0.51269	 0.42370	 0.32998	-0.15504	-0.18152	
43	 83.67610	 83.72597	-0.21658	-0.32742	 0.19078	 0.21404	-0.37460	-0.34720	 0.51864	 0.43488	-0.12550	-0.14983	
44	 76.42408	 76.43683	-0.16388	-0.25719	 0.24530	 0.26592	-0.20318	-0.17972	 0.60513	 0.53152	-0.09801	-0.12005	
45	 68.62029	 68.59818	-0.10212	-0.17859	 0.29688	 0.31479	-0.02533	-0.00575	 0.68422	 0.62122	-0.07224	-0.09178	
46	 60.94633	 60.89538	-0.03601	-0.09760	 0.34095	 0.35626	 0.14383	 0.15990	 0.74850	 0.69563	-0.05063	-0.06764	
47	 53.21426	 53.13850	 0.03648	-0.01158	 0.37886	 0.39162	 0.30908	 0.32187	 0.79976	 0.75681	-0.03261	-0.04699	
48	 45.51948	 45.41482	 0.11513	 0.07925	 0.41007	 0.42030	 0.46869	 0.47845	 0.83687	 0.80351	-0.01856	-0.03023	
49	 37.74775	 37.43291	 0.20305	 0.17839	 0.43492	 0.44254	 0.62672	 0.63359	 0.85946	 0.83559	-0.00849	-0.01726	
50	 30.19686	 30.22493	 0.29338	 0.27819	 0.45123	 0.45636	 0.76992	 0.77426	 0.86518	 0.84989	-0.00338	-0.00929	
51	 23.10731	 23.10494	 0.38887	 0.38185	 0.45988	 0.46250	 0.90292	 0.90497	 0.85474	 0.84740	-0.00289	-0.00591	
52	 16.63330	 16.04802	 0.48897	 0.48895	 0.46021	 0.46142	 1.02457	 1.02449	 0.82767	 0.82822	-0.00708	-0.00717	
53	 9.74888	 9.72158	 0.59732	 0.60316	 0.45359	 0.45087	 1.13762	 1.13577	 0.78311	 0.78970	-0.01638	-0.01330	
54	 3.86945	 3.79051	 0.70509	 0.71548	 0.43896	 0.43349	 1.23297	 1.22951	 0.72381	 0.73599	-0.02991	-0.02382	
55	-1.51996	-1.65287	 0.81550	 0.82934	 0.41707	 0.40872	 1.31435	 1.30945	 0.64939	 0.66628	-0.04772	-0.03861	
