# kx	ky
 0.283333333333	 0.616666666667
 0.285294117647	 0.616666666667
 0.287254901961	 0.616666666667
 0.289215686275	 0.616666666667
 0.291176470588	 0.616666666667
 0.293137254902	 0.616666666667
 0.295098039216	 0.616666666667
 0.297058823529	 0.616666666667
 0.299019607843	 0.616666666667
 0.300980392157	 0.616666666667
 0.302941176471	 0.616666666667
 0.304901960784	 0.616666666667
 0.306862745098	 0.616666666667
 0.308823529412	 0.616666666667
 0.310784313725	 0.616666666667
 0.312745098039	 0.616666666667
 0.314705882353	 0.616666666667
 0.316666666667	 0.616666666667
 0.318627450980	 0.616666666667
 0.320588235294	 0.616666666667
 0.322549019608	 0.616666666667
 0.324509803922	 0.616666666667
 0.326470588235	 0.616666666667
 0.328431372549	 0.616666666667
 0.330392156863	 0.616666666667
 0.332352941176	 0.616666666667
 0.334313725490	 0.616666666667
 0.336274509804	 0.616666666667
 0.338235294118	 0.616666666667
 0.340196078431	 0.616666666667
 0.342156862745	 0.616666666667
 0.344117647059	 0.616666666667
 0.346078431373	 0.616666666667
 0.348039215686	 0.616666666667
 0.350000000000	 0.616666666667
 0.351960784314	 0.616666666667
 0.353921568627	 0.616666666667
 0.355882352941	 0.616666666667
 0.357843137255	 0.616666666667
 0.359803921569	 0.616666666667
 0.361764705882	 0.616666666667
 0.363725490196	 0.616666666667
 0.365686274510	 0.616666666667
 0.367647058824	 0.616666666667
 0.369607843137	 0.616666666667
 0.371568627451	 0.616666666667
 0.373529411765	 0.616666666667
 0.375490196078	 0.616666666667
 0.377450980392	 0.616666666667
 0.379411764706	 0.616666666667
 0.381372549020	 0.616666666667
 0.383333333333	 0.616666666667
 0.283333333333	 0.618627450980
 0.285294117647	 0.618627450980
 0.287254901961	 0.618627450980
 0.289215686275	 0.618627450980
 0.291176470588	 0.618627450980
 0.293137254902	 0.618627450980
 0.295098039216	 0.618627450980
 0.297058823529	 0.618627450980
 0.299019607843	 0.618627450980
 0.300980392157	 0.618627450980
 0.302941176471	 0.618627450980
 0.304901960784	 0.618627450980
 0.306862745098	 0.618627450980
 0.308823529412	 0.618627450980
 0.310784313725	 0.618627450980
 0.312745098039	 0.618627450980
 0.314705882353	 0.618627450980
