Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  1.406738E+00,  1.752638E+00, -2.595554E+02,-1.000,  168
  0.000000,  0.000000,  1.406738E+00,  1.752636E+00, -2.595555E+02,-1.000,  168
  0.000000,  2.500000,  1.396131E+00,  1.741359E+00, -2.293673E+02,-1.000,  176
  0.000000,  2.500000,  1.396132E+00,  1.741357E+00, -2.293651E+02,-1.000,  176
  0.000000,  5.000000,  1.369968E+00,  1.715184E+00, -1.869198E+02,-1.000,  184
  0.000000,  5.000000,  1.369968E+00,  1.715189E+00, -1.869214E+02,-1.000,  184
  0.000000,  7.500000,  1.335047E+00,  1.678537E+00, -1.544635E+02,-1.000,  184
  0.000000,  7.500000,  1.335048E+00,  1.678526E+00, -1.544597E+02,-1.000,  184
  0.000000, 10.000000,  1.295313E+00,  1.638062E+00, -1.266966E+02,-1.000,  176
  0.000000, 10.000000,  1.295313E+00,  1.638063E+00, -1.267198E+02,-1.000,  176
  0.000000, 12.500000,  1.254885E+00,  1.596216E+00, -1.092452E+02,-1.000,  180
  0.000000, 12.500000,  1.254892E+00,  1.596203E+00, -1.092536E+02,-1.000,  180
  0.000000, 15.000000,  1.214634E+00,  1.551688E+00, -9.613299E+01,-1.000,  184
  0.000000, 15.000000,  1.214639E+00,  1.551683E+00, -9.613666E+01,-1.000,  184
  0.000000, 17.500000,  1.175680E+00,  1.506972E+00, -8.454171E+01,-1.000,  184
  0.000000, 17.500000,  1.175687E+00,  1.506968E+00, -8.455173E+01,-1.000,  184
  0.000000, 20.000000,  1.138511E+00,  1.462830E+00, -7.508527E+01,-1.000,  188
  0.000000, 20.000000,  1.138516E+00,  1.462834E+00, -7.509538E+01,-1.000,  188
  0.000000, 22.500000,  1.103590E+00,  1.419420E+00, -6.731864E+01,-1.000,  184
  0.000000, 22.500000,  1.103593E+00,  1.419426E+00, -6.732250E+01,-1.000,  184
  0.000000, 25.000000,  1.070970E+00,  1.377265E+00, -6.035631E+01,-1.000,  184
  0.000000, 25.000000,  1.070971E+00,  1.377272E+00, -6.035178E+01,-1.000,  184
  0.000000, 27.500000,  1.040892E+00,  1.337074E+00, -5.445273E+01,-1.000,  184
  0.000000, 27.500000,  1.040892E+00,  1.337074E+00, -5.445749E+01,-1.000,  184
