Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  3.499613E+00,  3.423406E+00, -4.790144E+00,-1.000,  336
  0.000000,  0.000000,  3.499625E+00,  3.423490E+00, -4.818067E+00,-1.000,  336
  0.000000,  0.000000,  3.510082E+00,  3.454513E+00, -6.062968E+01,-1.000,  168
  0.000000,  0.000000,  3.510105E+00,  3.454680E+00, -6.068604E+01,-1.000,  168
  0.000000,  2.500000,  3.510656E+00,  3.428727E+00, -1.197375E+01,-1.000,  356
  0.000000,  2.500000,  3.510664E+00,  3.429257E+00, -1.191584E+01,-1.000,  356
  0.000000,  2.500000,  3.516069E+00,  3.450653E+00, -4.525486E+01,-1.000,  172
  0.000000,  2.500000,  3.516084E+00,  3.451745E+00, -4.513955E+01,-1.000,  172
  0.000000,  5.000000,  3.548198E+00,  3.442362E+00, -1.669691E+01,-1.000,  180
  0.000000,  5.000000,  3.548199E+00,  3.442423E+00, -1.668464E+01,-1.000,  180
  0.000000,  7.500000,  3.613033E+00,  3.499818E+00, -5.754898E+01,-1.000,  176
  0.000000,  7.500000,  3.613034E+00,  3.499761E+00, -5.754844E+01,-1.000,  176
  0.000000, 10.000000,  3.693445E+00,  3.575803E+00, -8.971993E+01,-1.000,  168
  0.000000, 10.000000,  3.693454E+00,  3.575740E+00, -8.973702E+01,-1.000,  172
  0.000000, 12.500000,  3.784927E+00,  3.670778E+00, -1.266543E+02,-1.000,  172
  0.000000, 12.500000,  3.784937E+00,  3.670828E+00, -1.266785E+02,-1.000,  172
  0.000000, 15.000000,  3.879190E+00,  3.780960E+00, -1.790782E+02,-1.000,  172
  0.000000, 15.000000,  3.879190E+00,  3.780962E+00, -1.790879E+02,-1.000,  172
  0.000000, 17.500000,  3.958361E+00,  3.885466E+00, -2.610501E+02,-1.000,  168
  0.000000, 17.500000,  3.958361E+00,  3.885450E+00, -2.610523E+02,-1.000,  168
  0.000000, 20.000000,  3.984610E+00,  3.894205E+00, -3.164358E+02,-1.000,  172
  0.000000, 20.000000,  3.984614E+00,  3.894178E+00, -3.164682E+02,-1.000,  172
  0.000000, 22.500000,  3.925887E+00,  3.760573E+00, -2.538145E+02,-1.000,  176
  0.000000, 22.500000,  3.925888E+00,  3.760581E+00, -2.538248E+02,-1.000,  176
  0.000000, 25.000000,  3.801649E+00,  3.623736E+00, -1.837095E+02,-1.000,  172
  0.000000, 25.000000,  3.801652E+00,  3.623749E+00, -1.837160E+02,-1.000,  172
  0.000000, 27.500000,  3.645256E+00,  3.537136E+00, -1.511832E+02,-1.000,  172
  0.000000, 27.500000,  3.645256E+00,  3.537126E+00, -1.511821E+02,-1.000,  172
  0.000000, 30.000000,  3.472945E+00,  3.480164E+00, -1.379363E+02,-1.000,  168
  0.000000, 30.000000,  3.472946E+00,  3.480151E+00, -1.379265E+02,-1.000,  168
  0.000000, 32.500000,  3.290970E+00,  3.434101E+00, -1.290942E+02,-1.000,  176
