Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  3.650074E-02,  4.067497E-01,  3.438089E-01, 1.000,  588
  0.000000,  0.000000,  1.652406E-01,  1.815156E+00, -4.525446E+01, 1.000,  224
  0.000000,  2.500000,  3.649014E-02,  4.112525E-01,  1.121457E+00, 1.000,   80
  0.000000,  2.500000,  3.655321E-02,  4.070026E-01,  2.431653E-01, 1.000,  500
  0.000000,  2.500000,  1.652429E-01,  1.813137E+00, -4.437955E+01, 1.000,  192
  0.000000,  5.000000,  3.665102E-02,  4.087859E-01,  3.587280E-01, 1.000,  584
  0.000000,  5.000000,  1.650215E-01,  1.805000E+00, -4.050123E+01, 1.000,  188
  0.000000,  7.500000,  3.677642E-02,  4.146910E-01,  1.150277E+00, 1.000,   80
  0.000000,  7.500000,  3.684527E-02,  4.098297E-01,  2.389682E-01, 1.000,  484
  0.000000,  7.500000,  1.646779E-01,  1.794818E+00, -3.476226E+01, 1.000,  192
  0.000000, 10.000000,  3.707150E-02,  4.184769E-01,  1.191365E+00, 1.000,   48
  0.000000, 10.000000,  3.709532E-02,  4.127668E-01,  3.123059E-01, 1.000,  524
  0.000000, 10.000000,  1.644621E-01,  1.786293E+00, -2.903684E+01, 1.000,  196
  0.000000, 12.500000,  3.743310E-02,  4.167991E-01,  3.610720E-01, 1.000,  504
  0.000000, 12.500000,  3.743678E-02,  4.284029E-01,  1.384866E+00, 1.000,   12
  0.000000, 12.500000,  1.643796E-01,  1.779750E+00, -2.392837E+01, 1.000,  196
  0.000000, 15.000000,  3.784290E-02,  4.256611E-01,  1.078229E+00, 1.000,   60
  0.000000, 15.000000,  3.785743E-02,  4.208215E-01,  2.497094E-01, 1.000,  372
  0.000000, 15.000000,  1.645478E-01,  1.775894E+00, -1.992239E+01, 1.000,  188
  0.000000, 17.500000,  3.835565E-02,  4.239778E-01,  2.268466E-01, 1.000,  360
  0.000000, 17.500000,  3.836608E-02,  4.322056E-01,  9.248033E-01, 1.000,   24
  0.000000, 17.500000,  1.649774E-01,  1.775310E+00, -1.700182E+01, 1.000,  184
  0.000000, 20.000000,  3.892492E-02,  4.286227E-01,  3.721909E-01, 1.000,  224
  0.000000, 20.000000,  1.657211E-01,  1.778012E+00, -1.479696E+01, 1.000,  192
  0.000000, 22.500000,  3.960199E-02,  4.354275E-01,  4.950095E-01, 1.000,  192
  0.000000, 22.500000,  1.667554E-01,  1.783283E+00, -1.314964E+01, 1.000,  184
  0.000000, 25.000000,  4.039506E-02,  4.435454E-01,  5.774735E-01, 1.000,  192
  0.000000, 25.000000,  1.681269E-01,  1.792226E+00, -1.186177E+01, 1.000,  184
