Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  1.766745E-01,  1.903029E+00,  4.313621E+01, 1.000,  224
  0.000000,  0.000000,  2.044426E-01,  2.044793E+00,  5.178542E+00, 1.000,  196
  0.000000,  0.000000,  2.044429E-01,  2.046677E+00,  5.147915E+00, 1.000,  196
  0.000000,  0.000000,  2.309340E-01,  1.882255E+00, -1.333697E+01, 1.000,  196
  0.000000,  0.000000,  2.358305E-01,  2.323424E+00, -3.215110E+00, 1.000,  224
  0.000000,  0.000000,  2.358351E-01,  2.323205E+00, -3.193159E+00, 1.000,  196
  0.000000,  0.000000,  3.840622E-01,  2.100351E+00,  7.808434E-01, 1.000,  168
  0.000000,  0.000000,  3.840623E-01,  2.100335E+00,  7.751893E-01, 1.000,  168
  0.000000,  0.000000,  4.642878E+00,  2.071724E+00, -1.188455E+02, 1.000,  126
  0.000000,  2.500000,  1.770560E-01,  1.911401E+00,  4.225939E+01, 1.000,  192
  0.000000,  2.500000,  2.046887E-01,  2.046234E+00,  5.068009E+00, 1.000,  196
  0.000000,  2.500000,  2.046934E-01,  2.048091E+00,  5.043862E+00, 1.000,  176
  0.000000,  2.500000,  2.308975E-01,  1.885023E+00, -1.244084E+01, 1.000,  184
  0.000000,  2.500000,  2.360282E-01,  2.327183E+00, -3.218720E+00, 1.000,  176
  0.000000,  2.500000,  2.360295E-01,  2.327186E+00, -3.225533E+00, 1.000,  204
  0.000000,  2.500000,  3.843378E-01,  2.100924E+00,  5.325690E-01, 1.000,  176
  0.000000,  2.500000,  3.843382E-01,  2.101109E+00,  5.785482E-01, 1.000,  176
  0.000000,  2.500000,  4.639045E+00,  2.071188E+00, -1.174539E+02, 1.000,  132
  0.000000,  5.000000,  1.784087E-01,  1.931726E+00,  3.844480E+01, 1.000,  188
  0.000000,  5.000000,  2.054629E-01,  2.052801E+00,  4.719617E+00, 1.000,  184
  0.000000,  5.000000,  2.054702E-01,  2.055088E+00,  4.769160E+00, 1.000,  196
  0.000000,  5.000000,  2.308878E-01,  1.893253E+00, -1.025804E+01, 1.000,  192
  0.000000,  5.000000,  2.365949E-01,  2.330949E+00, -3.230344E+00, 1.000,  196
  0.000000,  5.000000,  2.365989E-01,  2.332199E+00, -3.258090E+00, 1.000,  176
  0.000000,  5.000000,  3.850887E-01,  2.104863E+00,  9.716117E-01, 1.000,  192
  0.000000,  5.000000,  3.850896E-01,  2.104903E+00,  9.752095E-01, 1.000,  192
  0.000000,  5.000000,  4.628217E+00,  2.071260E+00, -1.135625E+02, 1.000,  141
  0.000000,  7.500000,  1.806632E-01,  1.963038E+00,  3.273532E+01, 1.000,  192
