-24.15604	0
-23.67288	0.30305
-23.18972	337095.6189
-22.70656	20389.33307
-22.2234	0.00001
-21.74025	0
-21.25709	0
-20.77393	0
-20.29077	0
-19.80761	0
-19.32446	0
-18.8413	0
-18.35814	0
-17.87498	0
-17.39182	0
-16.90867	0
-16.42551	0
-15.94235	0
-15.45919	0
-14.97604	0
-14.49288	0
-14.00972	0.00505
-13.52656	981.04931
-13.0434	3873.36412
-12.56025	5847.12306
-12.07709	7493.8198
-11.59393	9603.3466
-11.11077	12802.23484
-10.62761	21793.99883
-10.14446	24255.07419
-9.6613		6701.13697
-9.17814	3246.99343
-8.69498	1259.79325
-8.21182	3.58536
-7.72867	0
-7.24551	0
-6.76235	0
-6.27919	0
-5.79603	0
-5.31288	66.43401
-4.82972	6296.47552
-4.34656	11977.45345
-3.8634		20848.03142
-3.38025	16044.85547
-2.89709	12836.24783
-2.41393	12619.1441
-1.93077	13764.64228
-1.44761	14878.68003
-0.96446	15100.34671
-0.4813		15710.5797
