# E (eV)   doscond(E)
   -7.000000000    0.000426517
   -6.990990991    0.000437296
   -6.981981982    0.000448548
   -6.972972973    0.000460304
   -6.963963964    0.000472594
   -6.954954955    0.000485453
   -6.945945946    0.000498918
   -6.936936937    0.000513031
   -6.927927928    0.000527835
   -6.918918919    0.000543379
   -6.909909910    0.000559714
   -6.900900901    0.000576898
   -6.891891892    0.000594993
   -6.882882883    0.000614069
   -6.873873874    0.000634200
   -6.864864865    0.000655469
   -6.855855856    0.000677969
   -6.846846847    0.000701800
   -6.837837838    0.000727073
   -6.828828829    0.000753914
   -6.819819820    0.000782460
   -6.810810811    0.000812866
   -6.801801802    0.000845305
   -6.792792793    0.000879969
   -6.783783784    0.000917077
   -6.774774775    0.000956873
   -6.765765766    0.000999637
   -6.756756757    0.001045684
   -6.747747748    0.001095374
   -6.738738739    0.001149119
   -6.729729730    0.001207392
   -6.720720721    0.001270742
   -6.711711712    0.001339800
   -6.702702703    0.001415305
   -6.693693694    0.001498123
   -6.684684685    0.001589271
   -6.675675676    0.001689957
   -6.666666667    0.001801621
   -6.657657658    0.001925990
   -6.648648649    0.002065159
   -6.639639640    0.002221679
   -6.630630631    0.002398695
   -6.621621622    0.002600116
   -6.612612613    0.002830856
   -6.603603604    0.003097165
   -6.594594595    0.003407103
   -6.585585586    0.003771214
   -6.576576577    0.004203528
   -6.567567568    0.004723068
   -6.558558559    0.005356199
   -6.549549550    0.006140379
   -6.540540541    0.007130412
   -6.531531532    0.008409308
   -6.522522523    0.010108153
   -6.513513514    0.012444834
   -6.504504505    0.015805649
   -6.495495495    0.020935404
   -6.486486486    0.029443544
   -6.477477477    0.045432013
   -6.468468468    0.082521456
   -6.459459459    0.216600523
   -6.450450450    3.953230538
   -6.441441441   10.326719610
   -6.432432432    6.264819039
   -6.423423423    4.684562230
   -6.414414414    3.814433387
   -6.405405405    3.255788113
   -6.396396396    2.863694790
   -6.387387387    2.571848185
   -6.378378378    2.345345388
   -6.369369369    2.163963311
   -6.360360360    2.015131677
   -6.351351351    1.890604628
   -6.342342342    1.784737029
   -6.333333333    1.693527594
   -6.324324324    1.614057235
   -6.315315315    1.544143920
   -6.306306306    1.482122267
   -6.297297297    1.426698126
   -6.288288288    1.376849879
   -6.279279279    1.331759796
   -6.270270270    1.290765249
   -6.261261261    1.253323372
   -6.252252252    1.218985012
   -6.243243243    1.187375246
   -6.234234234    1.158178600
   -6.225225225    1.131127687
   -6.216216216    1.105994391
   -6.207207207    1.082582939
   -6.198198198    1.060724418
   -6.189189189    1.040272391
   -6.180180180    1.021099373
   -6.171171171    1.003093978
   -6.162162162    0.986158588
   -6.153153153    0.970207457
   -6.144144144    0.955165155
   -6.135135135    0.940965291
   -6.126126126    0.927549475
   -6.117117117    0.914866478
   -6.108108108    0.902871562
   -6.099099099    0.891525970
   -6.090090090    0.880796559
   -6.081081081    0.870655575
   -6.072072072    0.861080577
   -6.063063063    0.852054518
   -6.054054054    0.843566017
   -6.045045045    0.835609859
   -6.036036036    0.828187783
   -6.027027027    0.821309667
   -6.018018018    0.814995236
   -6.009009009    0.809276533
   -6.000000000    0.804201479
   -5.990990991    0.799839077
   -5.981981982    0.796287111
   -5.972972973    0.793683819
   -5.963963964    0.792226035
   -5.954954955    0.792198303
   -5.945945946    0.794021471
   -5.936936937    0.798337661
   -5.927927928    0.806167734
   -5.918918919    0.819225272
   -5.909909910    0.840605320
   -5.900900901    0.876505650
   -5.891891892    0.941434344
   -5.882882883    1.079827139
   -5.873873874    1.546334471
   -5.864864865    0.135446368
   -5.855855856    0.023606864
   -5.846846847    0.012423668
   -5.837837838    0.008881893
   -5.828828829    0.007460219
   -5.819819820    0.007031476
   -5.810810811    0.007359813
   -5.801801802    0.008677656
   -5.792792793    0.012127836
   -5.783783784    0.023495009
   -5.774774775    0.155360767
   -5.765765766    1.437021594
   -5.756756757    1.007369393
   -5.747747748    0.868696717
   -5.738738739    0.798323898
   -5.729729730    0.755352976
   -5.720720721    0.726172325
   -5.711711712    0.704898819
   -5.702702703    0.688567944
   -5.693693694    0.675524590
   -5.684684685    0.664773750
   -5.675675676    0.655682670
   -5.666666667    0.647830705
   -5.657657658    0.640927952
   -5.648648649    0.634768533
   -5.639639640    0.629202475
   -5.630630631    0.624118115
   -5.621621622    0.619430712
   -5.612612613    0.615074862
   -5.603603604    0.610999322
   -5.594594595    0.607163399
   -5.585585586    0.603534380
   -5.576576577    0.600085671
   -5.567567568    0.596795433
   -5.558558559    0.593645558
   -5.549549550    0.590620904
   -5.540540541    0.587708702
   -5.531531532    0.584898105
   -5.522522523    0.582179833
   -5.513513514    0.579545892
   -5.504504505    0.576989354
   -5.495495495    0.574504178
   -5.486486486    0.572085071
   -5.477477477    0.569727366
   -5.468468468    0.567426930
   -5.459459459    0.565180085
   -5.450450450    0.562983547
   -5.441441441    0.560834365
   -5.432432432    0.558729882
   -5.423423423    0.556667695
   -5.414414414    0.554645621
   -5.405405405    0.552661674
   -5.396396396    0.550714038
   -5.387387387    0.548801051
   -5.378378378    0.546921183
   -5.369369369    0.545073025
   -5.360360360    0.543255276
   -5.351351351    0.541466731
   -5.342342342    0.539706269
   -5.333333333    0.537972851
   -5.324324324    0.536265504
   -5.315315315    0.534583323
   -5.306306306    0.532925459
   -5.297297297    0.531291116
   -5.288288288    0.529679546
   -5.279279279    0.528090048
   -5.270270270    0.526521959
   -5.261261261    0.524974653
   -5.252252252    0.523447541
   -5.243243243    0.521940065
   -5.234234234    0.520451694
   -5.225225225    0.518981928
   -5.216216216    0.517530290
   -5.207207207    0.516096327
   -5.198198198    0.514679608
   -5.189189189    0.513279722
   -5.180180180    0.511896279
   -5.171171171    0.510528904
   -5.162162162    0.509177240
   -5.153153153    0.507840946
   -5.144144144    0.506519696
   -5.135135135    0.505213176
   -5.126126126    0.503921086
   -5.117117117    0.502643138
   -5.108108108    0.501379056
   -5.099099099    0.500128575
   -5.090090090    0.498891439
   -5.081081081    0.497667402
   -5.072072072    0.496456227
   -5.063063063    0.495257687
   -5.054054054    0.494071560
   -5.045045045    0.492897636
   -5.036036036    0.491735708
   -5.027027027    0.490585579
   -5.018018018    0.489447056
   -5.009009009    0.488319955
   -5.000000000    0.487204095
   -4.990990991    0.486099304
   -4.981981982    0.485005410
   -4.972972973    0.483922252
   -4.963963964    0.482849670
   -4.954954955    0.481787510
