# E (eV)   conductance(E)
   -6.360360360    0.993691236
   -6.351351351    0.994080092
   -6.342342342    0.994410744
   -6.333333333    0.994695667
   -6.324324324    0.994943963
   -6.315315315    0.995162434
   -6.306306306    0.995356275
   -6.297297297    0.995529520
   -6.288288288    0.995685357
   -6.279279279    0.995826337
   -6.270270270    0.995954526
   -6.261261261    0.996071619
   -6.252252252    0.996179017
   -6.243243243    0.996277890
   -6.234234234    0.996369224
   -6.225225225    0.996453853
   -6.216216216    0.996532488
   -6.207207207    0.996605742
   -6.198198198    0.996674142
   -6.189189189    0.996738144
   -6.180180180    0.996798148
   -6.171171171    0.996854501
   -6.162162162    0.996907507
   -6.153153153    0.996957436
   -6.144144144    0.997004521
   -6.135135135    0.997048971
   -6.126126126    0.997090969
   -6.117117117    0.997130673
   -6.108108108    0.997168223
   -6.099099099    0.997203741
   -6.090090090    0.997237329
   -6.081081081    0.997269074
   -6.072072072    0.997299045
   -6.063063063    0.997327294
   -6.054054054    0.997353857
   -6.045045045    0.997378749
   -6.036036036    0.997401961
   -6.027027027    0.997423460
   -6.018018018    0.997443182
   -6.009009009    0.997461020
   -6.000000000    0.997476819
   -5.990990991    0.997490352
   -5.981981982    0.997501298
   -5.972972973    0.997509201
   -5.963963964    0.997513408
   -5.954954955    0.997512969
   -5.945945946    0.997506465
   -5.936936937    0.997491700
   -5.927927928    0.997465124
   -5.918918919    0.997420632
   -5.909909910    0.997346808
   -5.900900901    0.997219553
   -5.891891892    0.996977263
   -5.882882883    0.996395852
   -5.873873874    0.993355941
   -5.864864865    0.005108284
   -5.855855856    0.000466779
   -5.846846847    0.000192634
   -5.837837838    0.000121675
   -5.828828829    0.000096422
   -5.819819820    0.000089906
   -5.810810811    0.000097077
   -5.801801802    0.000123544
   -5.792792793    0.000198250
   -5.783783784    0.000495124
   -5.774774775    0.006496334
   -5.765765766    0.993943268
   -5.756756757    0.996634609
   -5.747747748    0.997207017
   -5.738738739    0.997464737
   -5.729729730    0.997613739
   -5.720720721    0.997711890
   -5.711711712    0.997782100
   -5.702702703    0.997835316
   -5.693693694    0.997877441
   -5.684684685    0.997911936
   -5.675675676    0.997940964
   -5.666666667    0.997965943
   -5.657657658    0.997987840
   -5.648648649    0.998007335
   -5.639639640    0.998024920
   -5.630630631    0.998040962
   -5.621621622    0.998055735
   -5.612612613    0.998069450
   -5.603603604    0.998082273
   -5.594594595    0.998094336
   -5.585585586    0.998105742
   -5.576576577    0.998116577
   -5.567567568    0.998126911
   -5.558558559    0.998136801
   -5.549549550    0.998146296
   -5.540540541    0.998155437
   -5.531531532    0.998164257
   -5.522522523    0.998172786
   -5.513513514    0.998181050
   -5.504504505    0.998189070
   -5.495495495    0.998196866
   -5.486486486    0.998204454
   -5.477477477    0.998211849
   -5.468468468    0.998219064
   -5.459459459    0.998226111
   -5.450450450    0.998233000
   -5.441441441    0.998239740
   -5.432432432    0.998246340
   -5.423423423    0.998252807
   -5.414414414    0.998259149
   -5.405405405    0.998265370
   -5.396396396    0.998271478
   -5.387387387    0.998277477
   -5.378378378    0.998283372
   -5.369369369    0.998289168
   -5.360360360    0.998294868
   -5.351351351    0.998300477
   -5.342342342    0.998305997
   -5.333333333    0.998311433
   -5.324324324    0.998316787
   -5.315315315    0.998322063
   -5.306306306    0.998327262
   -5.297297297    0.998332387
   -5.288288288    0.998337441
   -5.279279279    0.998342426
   -5.270270270    0.998347343
   -5.261261261    0.998352196
   -5.252252252    0.998356985
   -5.243243243    0.998361712
   -5.234234234    0.998366380
   -5.225225225    0.998370989
   -5.216216216    0.998375542
   -5.207207207    0.998380039
   -5.198198198    0.998384482
   -5.189189189    0.998388872
   -5.180180180    0.998393211
   -5.171171171    0.998397500
   -5.162162162    0.998401739
   -5.153153153    0.998405930
   -5.144144144    0.998410074
   -5.135135135    0.998414171
   -5.126126126    0.998418224
   -5.117117117    0.998422232
   -5.108108108    0.998426197
   -5.099099099    0.998430119
   -5.090090090    0.998433999
   -5.081081081    0.998437838
   -5.072072072    0.998441637
   -5.063063063    0.998445396
   -5.054054054    0.998449117
   -5.045045045    0.998452799
   -5.036036036    0.998456443
   -5.027027027    0.998460051
   -5.018018018    0.998463622
   -5.009009009    0.998467157
   -5.000000000    0.998470657
   -4.990990991    0.998474122
   -4.981981982    0.998477554
   -4.972972973    0.998480951
   -4.963963964    0.998484316
   -4.954954955    0.998487647
   -4.945945946    0.998490947
   -4.936936937    0.998494215
   -4.927927928    0.998497451
   -4.918918919    0.998500657
   -4.909909910    0.998503832
   -4.900900901    0.998506977
   -4.891891892    0.998510093
   -4.882882883    0.998513179
   -4.873873874    0.998516237
   -4.864864865    0.998519266
   -4.855855856    0.998522267
   -4.846846847    0.998525240
   -4.837837838    0.998528186
   -4.828828829    0.998531104
   -4.819819820    0.998533996
   -4.810810811    0.998536862
   -4.801801802    0.998539701
   -4.792792793    0.998542515
   -4.783783784    0.998545304
   -4.774774775    0.998548067
   -4.765765766    0.998550805
   -4.756756757    0.998553519
   -4.747747748    0.998556209
   -4.738738739    0.998558875
   -4.729729730    0.998561517
   -4.720720721    0.998564136
   -4.711711712    0.998566731
   -4.702702703    0.998569304
   -4.693693694    0.998571854
   -4.684684685    0.998574382
   -4.675675676    0.998576888
   -4.666666667    0.998579373
   -4.657657658    0.998581835
   -4.648648649    0.998584277
   -4.639639640    0.998586697
   -4.630630631    0.998589097
   -4.621621622    0.998591477
   -4.612612613    0.998593836
   -4.603603604    0.998596175
   -4.594594595    0.998598494
   -4.585585586    0.998600794
   -4.576576577    0.998603074
   -4.567567568    0.998605336
   -4.558558559    0.998607578
   -4.549549550    0.998609802
   -4.540540541    0.998612008
   -4.531531532    0.998614196
   -4.522522523    0.998616365
   -4.513513514    0.998618517
   -4.504504505    0.998620652
   -4.495495495    0.998622769
   -4.486486486    0.998624870
   -4.477477477    0.998626953
   -4.468468468    0.998629020
   -4.459459459    0.998631071
   -4.450450450    0.998633106
   -4.441441441    0.998635124
   -4.432432432    0.998637127
   -4.423423423    0.998639115
   -4.414414414    0.998641087
   -4.405405405    0.998643044
   -4.396396396    0.998644987
   -4.387387387    0.998646914
