# Energy (eV)        Projectability
    -7.3258726289997       0.9725682788286
    -6.4222374082281       0.9855842361242
    -6.2690698099864       0.9850992496837
    -5.7957744546659       0.9809640515787
    -5.5269840517238       0.9813091544464
    -4.6191411611886       0.9802016760945
    -4.2729650744767       0.9808511561302
    -3.1527719197592       0.9836487608349
    -2.6575647982929       0.9871708111902
    -1.9070769572241       0.9864238095802
    -1.1356375588761       0.9875319424205
    -0.4034940690344       0.9857614584320
    -0.2982102542285       0.9865282682874
    -0.1639836167140       0.9871059228342
    -0.1495064459601       0.9876626199094
    -0.1435854722017       0.9877115985513
     0.2719074706797       0.9869704467701
     0.5738933983328       0.9876920866329
     0.5819230428119       0.9867344954865
     0.5871014251305       0.9874969872398
     0.8807425500642       0.9835421286043
     1.4531922470641       0.9697524710082
     1.7786582320374       0.9619168929021
     1.8276302645044       0.9610566116982
     1.8518826210550       0.9597054188290
     2.4529222413758       0.6441874980189
     2.4804005930207       0.3400777308188
     2.4951203762332       0.9027484660237
     2.7235000982591       0.1788149275060
     2.7620161082723       0.1567181902825
     3.0799491020475       0.7946345744281
     3.4410162443754       0.4279867064536
     3.4524600984796       0.1337604852787
     3.5132428335447       0.8498714362625
     3.5435157034181       0.5180562499967
     3.5541768158472       0.8487435769695
     3.7797056768195       0.2587483620502
     4.0515724821821       0.0700414590248
     4.1504129423525       0.0028088653623
     4.2269847603548       0.1645299229910
     4.2746633130728       0.1560536089385
     4.7703003912219       0.1029357706276
     4.9291698907667       0.0095039281645
     5.4097577407639       0.9641147937121
     5.4604310738816       0.9797749585963
     5.6672143298172       0.1444126499286
     5.6916612049354       0.0013857051084
     5.9464003364717       0.0008507034702
     6.0011628241738       0.0037115265558
     6.0251844125766       0.6096815928246
     6.0893655705605       0.0000584989472
     6.1198044198796       0.7620495338512
     6.1925272433381       0.1510316600558
     6.2635430298888       0.0099023213192
     6.7340822444115       0.0004918226563
     6.7843923331637       0.0010106410443
     6.9388301119331       0.0827386172049
     6.9747617932177       0.0845615300879
     7.0155485356400       0.0333899656530
     7.0265156404347       0.0104748271173
    -7.3257933034480       0.9725776310400
    -6.4281127162441       0.9857209075737
    -6.2549486000734       0.9848763010513
    -5.8290886972401       0.9813631262206
    -5.4875446560360       0.9809784635591
    -4.6769365496296       0.9801519392275
    -4.2100588491556       0.9810082096360
    -3.2047589574884       0.9837297611297
    -2.6205066135246       0.9868126108218
    -1.8973371634645       0.9867115776659
    -1.1588029039870       0.9876070340976
    -0.3997948883417       0.9857887294832
    -0.3026193768245       0.9865292249333
    -0.2118280882355       0.9870599711005
    -0.1380534776761       0.9876447043633
    -0.0879579478373       0.9877521168161
     0.2459684414951       0.9873188901612
     0.4656694922014       0.9877571457923
     0.6064392455353       0.9870511930078
     0.7110483344558       0.9861235496871
     0.9198724131065       0.9825049007324
     1.3998262399101       0.9720652128986
     1.6314924470460       0.9673743780985
     1.8885291085745       0.9576289513323
     2.0067478757825       0.9529091184404
     2.1957408991801       0.9267797417636
     2.4740184208433       0.0909657015249
     2.6823136440955       0.1682030588526
     2.7677093376769       0.8522337313217
     2.8064564276101       0.1915493113333
     3.0110451834516       0.8129185906160
     3.2925293181895       0.8693961827548
     3.3384227031293       0.1868476200388
     3.5560602584625       0.6589376186945
     3.5806837157943       0.1055851017724
     3.7820670671858       0.8280765682350
     3.8253938172378       0.3359659102695
     4.0363998998188       0.0680252966413
     4.1773246853910       0.0616135399981
     4.1885287660832       0.2162532828339
     4.2445560631121       0.1154197686361
     4.7103498655529       0.0758646153186
     4.9854436419324       0.0841108939465
     5.2596306437843       0.7073959200307
     5.3373119038677       0.8667811720732
     5.6967352642356       0.0048470637687
     5.7840697938574       0.2996481078624
     5.9085938879819       0.0008604667879
     5.9770965968723       0.5680540650053
     6.0493635690521       0.0018343638307
     6.0860197406594       0.1274997015883
     6.2162391036165       0.1111184800722
     6.2564722630487       0.7806845393997
     6.4137764323977       0.0576844943251
     6.6315128612951       0.0011765235327
     6.7382126040122       0.1123304849363
     6.8952308330301       0.0009167044958
     7.0124921466856       0.0348856551644
     7.0303676825305       0.0103889045902
     7.1851419105605       0.0587796945442
    -7.3257399213434       0.9725677259554
    -6.4398767443935       0.9859636468410
    -6.2195853474184       0.9843590340376
    -5.8960266266876       0.9820558676629
    -5.4032102103243       0.9804641390689
    -4.7885693685909       0.9801156603655
    -4.0836073350996       0.9813394351649
    -3.3217497587737       0.9836697895774
    -2.5485554923073       0.9860877219269
    -1.8697154311494       0.9875378594612
    -1.2176510207899       0.9877148043294
    -0.3889583357543       0.9858617372093
    -0.3116771347652       0.9865235507942
    -0.2605345007977       0.9868080056261
    -0.1093916992782       0.9876009154884
    -0.0157857514989       0.9880036310109
     0.1913368259369       0.9878461164350
     0.3546258267295       0.9881181267511
     0.6789475389601       0.9856643861191
     0.8450530934289       0.9846836859926
     1.0306457410141       0.9794767793313
     1.2961042722989       0.9758356591841
     1.4608638432533       0.9726285543745
     1.9137449889572       0.9448993318961
     2.0250802584072       0.9498884752164
     2.2002018622364       0.9436322102588
     2.4826381009493       0.1104253805468
     2.6395648326404       0.1245240784279
     2.8236561147552       0.7110172341319
     2.9036928102928       0.3300544030540
     3.0601721888765       0.8878822472628
     3.0622469669748       0.8332960022318
     3.2375244919817       0.1615241054971
     3.5846565622770       0.4835409498381
     3.7061140553804       0.1097969609076
     3.9381858298053       0.2966470802283
     4.0311789721388       0.2276779323861
     4.0359772903227       0.8065994831510
     4.0636663690692       0.4360103513986
     4.1715396470010       0.0556802920286
     4.2411102378245       0.0593646426906
     4.6149078315882       0.0635697627955
     4.9434588365702       0.5810054211871
     5.0966043471036       0.7865707281573
     5.1750111189024       0.1612729645485
     5.7072348402028       0.0038332689658
     5.7576688103208       0.1124611055008
     5.8616818401911       0.0006376718663
     5.9879270591525       0.4854478484925
     6.1237210962005       0.0006719534879
     6.1742971144482       0.3063162430145
     6.4641220999080       0.1460579436954
     6.4664528564535       0.6835819690949
     6.5287279414627       0.0491672773799
     6.5378644863424       0.2705801475777
     6.6187662480895       0.0659113247216
     7.0243053977799       0.0386740654928
     7.0277833721902       0.0053922226051
     7.0486386984484       0.0061425928570
     7.1746645514620       0.0237510395669
    -7.3256562300563       0.9725686858108
    -6.4494898149020       0.9861400324683
    -6.1768983093631       0.9837322488670
    -5.9609793965685       0.9827642380738
    -5.3149665182548       0.9800260791213
    -4.8952457082738       0.9801848879168
    -3.9551247511222       0.9816816475611
    -3.4477826420127       0.9834620549268
    -2.4910993903842       0.9854355266081
    -1.8337466014965       0.9885437158550
    -1.2826531720013       0.9876774160442
    -0.3719877123355       0.9859590431540
