     0   -10.27128112   -10.27128112    -4.26685212    -4.26685212    -4.26685212    -4.26685212    -3.26234681    -3.26234681    -1.47070626    -1.47070626    -1.47070626    -1.47070626     5.53751354     5.53751354     5.53751354     5.53751354     5.53751354     5.53751354
     1   -10.26637890   -10.26637890    -4.26722718    -4.26720331    -4.26679303    -4.26599533    -3.26272559    -3.26184919    -1.47111497    -1.47103269    -1.47058953    -1.47056208     5.52470794     5.52470797     5.53564060     5.53564060     5.54784143     5.54784146
     2   -10.25187899   -10.25187899    -4.26784230    -4.26711331    -4.26702726    -4.26466767    -3.26297728    -3.26123777    -1.47225766    -1.47209432    -1.47021162    -1.47015719     5.50944090     5.50944104     5.53012482     5.53012482     5.55577787     5.55577801
     3   -10.22839175   -10.22839175    -4.26876537    -4.26757289    -4.26648706    -4.26287987    -3.26309052    -3.26051433    -1.47413204    -1.47389006    -1.46957217    -1.46949167     5.49185024     5.49185054     5.52126984     5.52126984     5.56148859     5.56148889
     4   -10.19690200   -10.19690200    -4.26996965    -4.26842129    -4.26535237    -4.26064227    -3.26305102    -3.25967740    -1.47673471    -1.47641769    -1.46867070    -1.46856557     5.47220667     5.47220716     5.50956341     5.50956341     5.56519498     5.56519546
     5   -10.15872176   -10.15872176    -4.27145334    -4.26958357    -4.26369431    -4.25796464    -3.26284179    -3.25872235    -1.48006124    -1.47967390    -1.46750663    -1.46737886     5.45091532     5.45091600     5.49565064     5.49565064     5.56715244     5.56715311
     6   -10.11542681   -10.11542681    -4.27321590    -4.27106545    -4.26150433    -4.25485594    -3.26244344    -3.25764149    -1.48410611    -1.48365422    -1.46607929    -1.46593145     5.42850674     5.42850760     5.48029810     5.48029810     5.56763255     5.56763338
     7   -10.06878012   -10.06878012    -4.27525824    -4.27287293    -4.25877480    -4.25132417    -3.26183452    -3.25642426    -1.48886279    -1.48835310    -1.46438791    -1.46422319     5.40561812     5.40561911     5.46435037     5.46435037     5.56690924     5.56691020
     8   -10.02064552   -10.02064552    -4.27758287    -4.27501222    -4.25549930    -4.24737623    -3.26099186    -3.25505740    -1.49432374    -1.49376390    -1.46243165    -1.46225389     5.38296657     5.38296764     5.44868132     5.44868132     5.56524879     5.56524981
     9    -9.97289639    -9.97289639    -4.28019413    -4.27748982    -4.25167275    -4.24301772    -3.25989103    -3.25352515    -1.50048047    -1.49987888    -1.46020962    -1.46002324     5.36131701     5.36131809     5.43414288     5.43414288     5.56290243     5.56290345
    10    -9.92732412    -9.92732412    -4.28309823    -4.28031263    -4.24729160    -4.23825293    -3.25850671    -3.25180947    -1.50732353    -1.50668927    -1.45772093    -1.45753088     5.34144696     5.34144799     5.42151466     5.42151466     5.56010109     5.56010206
    11    -9.88555187    -9.88555187    -4.28630334    -4.28348806    -4.24235389    -4.23308468    -3.25681311    -3.24989025    -1.51484261    -1.51418527    -1.45496470    -1.45477633     5.32411069     5.32411162     5.41145797     5.41145797     5.55705149     5.55705236
    12    -9.84895880    -9.84895880    -4.28981966    -4.28702416    -4.23685938    -4.22751432    -3.25478438    -3.24774555    -1.52302656    -1.52235610    -1.45194013    -1.45175897     5.31000477     5.31000555     5.40447787     5.40447787     5.55393322     5.55393396
    13    -9.81861942    -9.81861941    -4.29365937    -4.29092979    -4.23080961    -4.22154178    -3.25239497    -3.24535175    -1.53186352    -1.53119010    -1.44864649    -1.44847809     5.29973652     5.29973714     5.40089625     5.40089625     5.55089674     5.55089731
