     0   -87.24863990   -84.70399540   -54.13190804   -53.68314134   -52.91468737   -51.22353912   -50.78040556   -50.43225297    -8.40866786    -8.05701325    -2.27062779    -2.24293929    -2.21148054    -0.96284810    -0.95249841    -0.41736617    -0.39918603    -0.36679390     1.37578357     1.37765319     6.94216766     6.94216766     6.94216766     6.94216766     6.94216766     6.94216766
     1   -87.24669302   -84.70208220   -54.13190318   -53.68312894   -52.91468343   -51.22353451   -50.78039469   -50.43224965    -8.40757239    -8.05592990    -2.27061547    -2.24293971    -2.21146658    -0.96288018    -0.95249456    -0.41735463    -0.39919026    -0.36678148     1.37574047     1.37765880     6.91898363     6.91990943     6.93897881     6.93975279     6.96447032     6.96504940
     2   -87.24086905   -84.69636293   -54.13188868   -53.68309173   -52.91467182   -51.22352073   -50.78036224   -50.43223948    -8.40429072    -8.05268701    -2.27057848    -2.24294091    -2.21142470    -0.96297921    -0.95248029    -0.41732000    -0.39920300    -0.36674419     1.37560353     1.37768329     6.89331607     6.89703363     6.93305663     6.93601466     6.98384038     6.98634741
     3   -87.23122349   -84.68689747   -54.13186460   -53.68302995   -52.91465284   -51.22349772   -50.78030865   -50.43222200    -8.39883983    -8.04730520    -2.27051689    -2.24294277    -2.21135478    -0.96315055    -0.95245040    -0.41726237    -0.39922431    -0.36668183     1.37535686     1.37774261     6.86523302     6.87354372     6.92453797     6.93094455     7.00024100     7.00605197
     4   -87.21785109   -84.67378415   -54.13183087   -53.68294409   -52.91462665   -51.22346535   -50.78023455   -50.43219665    -8.39124996    -8.03981825    -2.27043079    -2.24294522    -2.21125665    -0.96340063    -0.95239859    -0.41718191    -0.39925426    -0.36659402     1.37498660     1.37785070     6.83483134     6.84943450     6.91359159     6.92454495     7.01366558     7.02416372
     5   -87.20088469   -84.65715854   -54.13178731   -53.68283485   -52.91459326   -51.22342343   -50.78014080   -50.43216281    -8.38156456    -8.03027304    -2.27032032    -2.24294816    -2.21113002    -0.96373635    -0.95231815    -0.41707892    -0.39929292    -0.36648016     1.37448611     1.37801424     6.80223400     6.82469365     6.90041695     6.91683124     7.02413243     7.04069724
     6   -87.18049363   -84.63719176   -54.13173366   -53.68270314   -52.91455259   -51.22337171   -50.78002842   -50.43211977    -8.36984026    -8.01872947    -2.27018567    -2.24295154    -2.21097455    -0.96416435    -0.95220261    -0.41695382    -0.39934038    -0.36633949     1.37385456     1.37823412     6.76758873     6.79930238     6.88524224     6.90783294     7.03168484     7.05567903
     7   -87.15688168   -84.61408838   -54.13166959   -53.68255008   -52.91450443   -51.22330991   -50.77989864   -50.43206682    -8.35614674    -8.00526037    -2.27002708    -2.24295530    -2.21078981    -0.96469042    -0.95204635    -0.41680712    -0.39939669    -0.36617103     1.37309361     1.37850873     6.73106638     6.77323712     6.86832126     6.89759477     7.03639081     7.06914547
     8   -87.13028456   -84.58808396   -54.13159472   -53.68237699   -52.91444850   -51.22323774   -50.77975282   -50.43200321    -8.34056660    -7.98995125    -2.26984481    -2.24295940    -2.21057530    -0.96531907    -0.95184503    -0.41663947    -0.39946194    -0.36597367     1.37220529     1.37883610     6.69285907     6.74647300     6.84992862     6.88617713     7.03834249     7.08114093
     9   -87.10096710   -84.55944212   -54.13150864   -53.68218541   -52.91438446   -51.22315495   -50.77959253   -50.43192826    -8.32319513    -7.97290010    -2.26963919    -2.24296383    -2.21033047    -0.96605339    -0.95159574    -0.41645160    -0.39953619    -0.36574607     1.37119128     1.37921458     6.65317800     6.71898899     6.83035309     6.87365613     7.03765547     7.09171585
    10   -87.06922004   -84.52845141   -54.13141095   -53.68197704   -52.91431194   -51.22306130   -50.77941945   -50.43184133    -8.30414002    -7.95421704    -2.26941054    -2.24296857    -2.21005469    -0.96689513    -0.95129690    -0.41624436    -0.39961950    -0.36548678     1.37005280     1.37964302     6.61225116     6.69077500     6.80988923     6.86012306     7.03446783     7.10092515
    11   -87.03535658   -84.49542180   -54.13130130   -53.68175378   -52.91423059   -51.22295664   -50.77923542   -50.43174189    -8.28352097    -7.93402386    -2.26915928    -2.24297364    -2.20974726    -0.96784488    -0.95094808    -0.41601870    -0.39971192    -0.36519415     1.36879067     1.38012062     6.57032085     6.66183993     6.78882780     6.84568322     7.02893900     7.10882674
    12   -86.99970861   -84.46068104   -54.13117941   -53.68151768   -52.91414010   -51.22284092   -50.77904238   -50.43162953    -8.26146915    -7.91245347    -2.26888582    -2.24297903    -2.20940743    -0.96890240    -0.95054967    -0.41577568    -0.39981347    -0.36486641     1.36740544     1.38064689     6.52764103     6.63221974     6.76744629     6.83045418     7.02124833     7.11548030
    13   -86.96262285   -84.42457077   -54.13104510   -53.68127097   -52.91404023   -51.22271421   -50.77884239   -50.43150402    -8.23812657    -7.88964918    -2.26859065    -2.24298478    -2.20903437    -0.97006686    -0.95010264    -0.41551644    -0.39992418    -0.36450166     1.36589745     1.38122151     6.48447469     6.60198397     6.74600087     6.81456358     7.01159359     7.12094632
    14   -86.92445678   -84.38744253   -54.13089833   -53.68101597   -52.91393086   -51.22257676   -50.77863761   -50.43136534    -8.21364529    -7.86576392    -2.26827430    -2.24299092    -2.20862718    -0.97133712    -0.94960824    -0.41524223    -0.40004404    -0.36409787     1.36426695     1.38184429     6.44109110     6.57123931     6.72472122     6.79814638     7.00018915     7.12528538
    15   -86.88557455   -84.34965375   -54.13073922   -53.68075518   -52.91381205   -51.22242899   -50.77843028   -50.43121367    -8.18818647    -7.84095915    -2.26793737    -2.24299748    -2.20818490    -0.97271187    -0.94906788    -0.41495437    -0.40017300    -0.36365291     1.36251409     1.38251511     6.39776310     6.54012960     6.70380856     6.78134205     6.98726403     7.12855759
    16   -86.84634281   -84.31156371   -54.13056809   -53.68049116   -52.91368405   -51.22227157   -50.77822268   -50.43104946    -8.16191925    -7.81540375    -2.26758051    -2.24300450    -2.20770650    -0.97418975    -0.94848299    -0.41465429    -0.40031101    -0.36316457     1.36063898     1.38323391     6.35476443     6.50883248     6.68343690     6.76429156     6.97305965     7.13082230
    17   -86.80712668   -84.27352952   -54.13038551   -53.68022657   -52.91354730   -51.22210537   -50.77801717   -50.43087343    -8.13501948    -7.78927268    -2.26720445    -2.24301201    -2.20719084    -0.97576945    -0.94785495    -0.41434346    -0.40045795    -0.36263055     1.35864172     1.38400065     6.31236715     6.47755352     6.66375619     6.74713467     6.95782746     7.13213788
    18   -86.76828568   -84.23590226   -54.13019226   -53.67996414   -52.91340255   -51.22193155   -50.77781613   -50.43068660    -8.10766828    -7.76274550    -2.26680999    -2.24302005    -2.20663672    -0.97744972    -0.94718501    -0.41402345    -0.40061369    -0.36204851     1.35652239     1.38481529     6.27083916     6.44651905     6.64489630     6.73000765     6.94182617     7.13256168
    19   -86.73016997   -84.19902323   -54.12998940   -53.67970665   -52.91325080   -51.22175153   -50.77762196   -50.43049028    -8.08005045    -7.73600471    -2.26639802    -2.24302863    -2.20604285    -0.97922940    -0.94647434    -0.41369586    -0.40077804    -0.36141607     1.35428108     1.38567780     6.23044190     6.41596867     6.62697042     6.71304183     6.92531884     7.13215006
    20   -86.69311664   -84.16322046   -54.12977829   -53.67945687   -52.91309335   -51.22156701   -50.77743705   -50.43028610    -8.05235270    -7.70923401    -2.26596950    -2.24303779    -2.20540784    -0.98110745    -0.94572397    -0.41336236    -0.40095078    -0.36073081     1.35191790     1.38658814     6.19142818     6.38614827     6.61007723     6.69636319     6.90856945     7.13095848
    21   -86.65744637   -84.12880540   -54.12956054   -53.67921760   -52.91293183   -51.22138000   -50.77726379   -50.43007597    -8.02476186    -7.68261641    -2.26552551    -2.24304752    -2.20473022    -0.98308288    -0.94493481    -0.41302463    -0.40113163    -0.35999033     1.34943298     1.38754625     6.15404027     6.35730388     6.59430115     6.68009342     6.89183927     7.12904167
    22   -86.62346027   -84.09606998   -54.12933807   -53.67899159   -52.91276818   -51.22119276   -50.77710455   -50.42986213    -7.99746285    -7.65633230    -2.26506720    -2.24305782    -2.20400841    -0.98515483    -0.94410766    -0.41268440    -0.40132027    -0.35919222     1.34682646     1.38855204     6.11850815     6.32967635     6.57971058     6.66435260     6.87538269     7.12645375
