Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  3.821055E-01,  1.981562E-01,  1.607989E+01, 1.000,   10
  0.000000,  0.000000,  3.821639E-01,  2.021292E-01,  1.379506E+01, 1.000,   28
  0.000000,  0.000000,  3.821793E-01,  2.219773E-01,  3.409895E-01, 1.000,  261
  0.000000,  0.000000,  3.823507E-01,  2.190175E-01,  3.242787E+00, 1.000,  101
  0.000000,  0.000000,  4.095849E-01,  2.381376E-01, -7.680893E+01, 1.000,   83
  0.000000,  0.000000,  4.132962E-01,  1.809675E-01, -4.135406E+01, 1.000,   73
  0.000000,  0.000000,  4.133073E-01,  1.808859E-01, -4.154174E+01, 1.000,   77
  0.000000,  0.000000,  9.507891E-01,  3.641241E-01, -1.940363E+02, 1.000,   74
  0.000000,  2.500000,  3.973484E-01,  2.336696E-01, -5.800944E+01, 1.000,   84
  0.000000,  2.500000,  4.054646E-01,  2.113931E-01,  2.753293E+01, 1.000,   51
  0.000000,  2.500000,  4.055013E-01,  2.108253E-01,  2.771284E+01, 1.000,   42
  0.000000,  2.500000,  4.063535E-01,  2.332154E-01, -3.734856E+00, 1.000,  205
  0.000000,  2.500000,  4.068814E-01,  2.334134E-01, -5.764855E+00, 1.000,   84
  0.000000,  2.500000,  4.323527E-01,  1.917477E-01, -4.368672E+01, 1.000,   79
  0.000000,  2.500000,  4.323531E-01,  1.917476E-01, -4.385800E+01, 1.000,   72
  0.000000,  2.500000,  9.652642E-01,  3.910038E-01, -2.616414E+02, 1.000,   75
  0.000000,  5.000000,  3.846445E-01,  2.269728E-01, -3.421268E+01, 1.000,   82
  0.000000,  5.000000,  4.324922E-01,  2.296311E-01,  4.550824E+01, 1.000,   71
  0.000000,  5.000000,  4.324930E-01,  2.295015E-01,  4.534616E+01, 1.000,   78
  0.000000,  5.000000,  4.345909E-01,  2.484783E-01, -8.018606E+00, 1.000,  232
  0.000000,  5.000000,  4.546000E-01,  2.054674E-01, -4.560986E+01, 1.000,   76
  0.000000,  5.000000,  4.546004E-01,  2.041094E-01, -4.809098E+01, 1.000,   72
  0.000000,  5.000000,  9.425393E-01,  4.259404E-01, -2.975546E+02, 1.000,   75
  0.000000,  7.500000,  3.720578E-01,  2.187777E-01, -9.139123E+00, 1.000,   81
  0.000000,  7.500000,  4.648680E-01,  2.582691E-01,  5.266813E+01, 1.000,   71
  0.000000,  7.500000,  4.653053E-01,  2.587193E-01,  4.344699E+01, 1.000,   87
  0.000000,  7.500000,  4.672250E-01,  2.635700E-01, -7.396251E+00, 1.000,  225
  0.000000,  7.500000,  4.810377E-01,  2.243444E-01, -4.446868E+01, 1.000,   72
  0.000000,  7.500000,  4.811077E-01,  2.255452E-01, -4.565213E+01, 1.000,   78
  0.000000,  7.500000,  8.753695E-01,  4.548801E-01, -2.674887E+02, 1.000,   77
  0.000000, 10.000000,  3.624139E-01,  2.028650E-01, -9.517791E+00, 1.000,  125
