Theta(deg) =   0.000000 , Phi(deg) =   0.000000 , Number of orbits =     7 , (Angstrom^-1) units
Slice   =    186 , Freq(kT, average of all copies)              =   0.3115
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3142
Points  =     43
  6.320606E+00  4.860281E+00 -1.351007E+00
  6.333066E+00  4.841864E+00 -1.351007E+00
  6.341322E+00  4.813541E+00 -1.351007E+00
  6.348929E+00  4.788749E+00 -1.351007E+00
  6.350722E+00  4.785218E+00 -1.351007E+00
  6.373851E+00  4.756895E+00 -1.351007E+00
  6.377252E+00  4.749235E+00 -1.351007E+00
  6.393951E+00  4.728571E+00 -1.351007E+00
  6.405575E+00  4.718732E+00 -1.351007E+00
  6.433898E+00  4.708022E+00 -1.351007E+00
  6.450132E+00  4.700248E+00 -1.351007E+00
  6.462221E+00  4.690330E+00 -1.351007E+00
  6.466011E+00  4.700248E+00 -1.351007E+00
  6.462221E+00  4.713089E+00 -1.351007E+00
  6.455040E+00  4.728571E+00 -1.351007E+00
  6.462221E+00  4.745704E+00 -1.351007E+00
  6.464421E+00  4.756895E+00 -1.351007E+00
  6.462221E+00  4.759969E+00 -1.351007E+00
Slice   =     48 , Freq(kT, average of all copies)              =   0.3302
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3415
Points  =     45
  kx            ky            kz
  9.874022E+00  9.578645E+00 -4.514695E+00
  9.858996E+00  9.605020E+00 -4.514695E+00
  9.867322E+00  9.633344E+00 -4.514695E+00
  9.857837E+00  9.661667E+00 -4.514695E+00
  9.855630E+00  9.689990E+00 -4.514695E+00
  9.851932E+00  9.718313E+00 -4.514695E+00
  9.847269E+00  9.746636E+00 -4.514695E+00
  9.845699E+00  9.755132E+00 -4.514695E+00
  9.841108E+00  9.774959E+00 -4.514695E+00
  9.830452E+00  9.803282E+00 -4.514695E+00
  9.825679E+00  9.831605E+00 -4.514695E+00
  9.817376E+00  9.844475E+00 -4.514695E+00
  9.804589E+00  9.859929E+00 -4.514695E+00
  9.789053E+00  9.877145E+00 -4.514695E+00
  9.776349E+00  9.888252E+00 -4.514695E+00
  9.760729E+00  9.904992E+00 -4.514695E+00
  9.738261E+00  9.916575E+00 -4.514695E+00
  9.732406E+00  9.919740E+00 -4.514695E+00
  9.726042E+00  9.916575E+00 -4.514695E+00
  9.704083E+00  9.899009E+00 -4.514695E+00
  9.700192E+00  9.888252E+00 -4.514695E+00
  9.704083E+00  9.875067E+00 -4.514695E+00
  9.709887E+00  9.859929E+00 -4.514695E+00
  9.711727E+00  9.831605E+00 -4.514695E+00
  9.716503E+00  9.803282E+00 -4.514695E+00
  9.732406E+00  9.775605E+00 -4.514695E+00
  9.732796E+00  9.774959E+00 -4.514695E+00
  9.732406E+00  9.773407E+00 -4.514695E+00
  9.727878E+00  9.746636E+00 -4.514695E+00
  9.732406E+00  9.738663E+00 -4.514695E+00
  9.749749E+00  9.718313E+00 -4.514695E+00
  9.754017E+00  9.689990E+00 -4.514695E+00
  9.760729E+00  9.674399E+00 -4.514695E+00
  9.770493E+00  9.661667E+00 -4.514695E+00
  9.782776E+00  9.633344E+00 -4.514695E+00
  9.789053E+00  9.609667E+00 -4.514695E+00
  9.792243E+00  9.605020E+00 -4.514695E+00
  9.817040E+00  9.576697E+00 -4.514695E+00
  9.817376E+00  9.575017E+00 -4.514695E+00
  9.840100E+00  9.548374E+00 -4.514695E+00
  9.845699E+00  9.545578E+00 -4.514695E+00
  9.848436E+00  9.548374E+00 -4.514695E+00
  9.874022E+00  9.573533E+00 -4.514695E+00
  9.874840E+00  9.576697E+00 -4.514695E+00
  9.874022E+00  9.578645E+00 -4.514695E+00
Slice   =    182 , Freq(kT, average of all copies)              =   0.3388
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3478
Points  =     47
  kx            ky            kz
  9.126870E+00  5.273389E+00  1.889866E+00
  9.113518E+00  5.296426E+00  1.889866E+00
  9.112103E+00  5.324749E+00  1.889866E+00
  9.108971E+00  5.353072E+00  1.889866E+00
  9.098546E+00  5.374697E+00  1.889866E+00
  9.095343E+00  5.381395E+00  1.889866E+00
  9.089863E+00  5.409718E+00  1.889866E+00
  9.076189E+00  5.438041E+00  1.889866E+00
  9.072516E+00  5.466364E+00  1.889866E+00
  9.070223E+00  5.470944E+00  1.889866E+00
  9.055394E+00  5.494688E+00  1.889866E+00
  9.041900E+00  5.518192E+00  1.889866E+00
  9.037155E+00  5.523011E+00  1.889866E+00
  9.041900E+00  5.547873E+00  1.889866E+00
  9.042238E+00  5.551334E+00  1.889866E+00
  9.041900E+00  5.551857E+00  1.889866E+00
  9.014963E+00  5.579657E+00  1.889866E+00
  9.013577E+00  5.582657E+00  1.889866E+00
  8.992732E+00  5.607980E+00  1.889866E+00
  8.985254E+00  5.617432E+00  1.889866E+00
  8.970564E+00  5.607980E+00  1.889866E+00
  8.956931E+00  5.595621E+00  1.889866E+00
  8.951507E+00  5.579657E+00  1.889866E+00
  8.956931E+00  5.568138E+00  1.889866E+00
  8.966533E+00  5.551334E+00  1.889866E+00
  8.956931E+00  5.539120E+00  1.889866E+00
  8.952094E+00  5.523011E+00  1.889866E+00
  8.956931E+00  5.511980E+00  1.889866E+00
  8.969641E+00  5.494688E+00  1.889866E+00
  8.966629E+00  5.466364E+00  1.889866E+00
  8.971931E+00  5.438041E+00  1.889866E+00
  8.982643E+00  5.409718E+00  1.889866E+00
  8.977265E+00  5.381395E+00  1.889866E+00
  8.985254E+00  5.367399E+00  1.889866E+00
  8.996446E+00  5.353072E+00  1.889866E+00
  9.000505E+00  5.324749E+00  1.889866E+00
  9.013577E+00  5.307012E+00  1.889866E+00
  9.026425E+00  5.296426E+00  1.889866E+00
  9.041900E+00  5.273291E+00  1.889866E+00
  9.047598E+00  5.268102E+00  1.889866E+00
  9.070223E+00  5.253221E+00  1.889866E+00
  9.093064E+00  5.239779E+00  1.889866E+00
  9.098546E+00  5.236303E+00  1.889866E+00
  9.102649E+00  5.239779E+00  1.889866E+00
  9.126870E+00  5.261403E+00  1.889866E+00
  9.129807E+00  5.268102E+00  1.889866E+00
  9.126870E+00  5.273389E+00  1.889866E+00
Slice   =    116 , Freq(kT, average of all copies)              =   0.3583
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3622
Points  =     37
  kx            ky            kz
  4.716938E+00  3.368413E+00  1.586095E+00
  4.688615E+00  3.364612E+00  1.586095E+00
  4.660292E+00  3.362324E+00  1.586095E+00
  4.631969E+00  3.351951E+00  1.586095E+00
  4.624333E+00  3.344217E+00  1.586095E+00
  4.603646E+00  3.328558E+00  1.586095E+00
  4.591867E+00  3.315894E+00  1.586095E+00
  4.577006E+00  3.287571E+00  1.586095E+00
  4.575323E+00  3.285029E+00  1.586095E+00
  4.565006E+00  3.259247E+00  1.586095E+00
  4.546999E+00  3.233362E+00  1.586095E+00
  4.543489E+00  3.230924E+00  1.586095E+00
  4.518676E+00  3.216029E+00  1.586095E+00
  4.505462E+00  3.202601E+00  1.586095E+00
  4.490353E+00  3.175025E+00  1.586095E+00
  4.489724E+00  3.174278E+00  1.586095E+00
  4.490353E+00  3.172092E+00  1.586095E+00
  4.503629E+00  3.145955E+00  1.586095E+00
  4.518676E+00  3.119570E+00  1.586095E+00
  4.521550E+00  3.117632E+00  1.586095E+00
  4.546999E+00  3.108694E+00  1.586095E+00
  4.575323E+00  3.112271E+00  1.586095E+00
  4.589096E+00  3.117632E+00  1.586095E+00
  4.603646E+00  3.123755E+00  1.586095E+00
  4.631969E+00  3.137471E+00  1.586095E+00
  4.638249E+00  3.145955E+00  1.586095E+00
  4.649447E+00  3.174278E+00  1.586095E+00
  4.659229E+00  3.202601E+00  1.586095E+00
  4.660292E+00  3.204345E+00  1.586095E+00
  4.687017E+00  3.230924E+00  1.586095E+00
  4.688615E+00  3.232957E+00  1.586095E+00
  4.716938E+00  3.252313E+00  1.586095E+00
  4.722278E+00  3.259247E+00  1.586095E+00
  4.735664E+00  3.287571E+00  1.586095E+00
  4.738520E+00  3.315894E+00  1.586095E+00
  4.726517E+00  3.344217E+00  1.586095E+00
  4.716938E+00  3.368413E+00  1.586095E+00
Slice   =    215 , Freq(kT, average of all copies)              =   0.8069
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.8172
Points  =     81
  kx            ky            kz
  1.190254E+01  8.133141E+00  2.824529E+00
  1.190122E+01  8.132913E+00  2.824529E+00
  1.187421E+01  8.114286E+00  2.824529E+00
  1.185767E+01  8.132913E+00  2.824529E+00
  1.184589E+01  8.139913E+00  2.824529E+00
  1.182748E+01  8.161236E+00  2.824529E+00
  1.181757E+01  8.168224E+00  2.824529E+00
  1.178924E+01  8.181331E+00  2.824529E+00
  1.176092E+01  8.189069E+00  2.824529E+00
  1.176046E+01  8.189560E+00  2.824529E+00
  1.173260E+01  8.209330E+00  2.824529E+00
  1.171642E+01  8.217883E+00  2.824529E+00
  1.170427E+01  8.225625E+00  2.824529E+00
  1.167595E+01  8.238692E+00  2.824529E+00
  1.166484E+01  8.246206E+00  2.824529E+00
  1.164763E+01  8.255424E+00  2.824529E+00
  1.161931E+01  8.272495E+00  2.824529E+00
