Theta(deg) =   0.000000 , Phi(deg) =   0.000000 , Number of orbits =     8 , (a.u.^-1) units
Slice   =     14 , Freq(kT, average of all copies)              =   0.3821
Orbit # =      0 , Freq(kT, this largest copy used for outline) =   0.3829
Points  =     87
  kx            ky            kz
  2.266456E+00  1.937633E+00 -1.339991E+00
  2.265685E+00  1.939850E+00 -1.339991E+00
  2.263846E+00  1.947281E+00 -1.339991E+00
  2.262750E+00  1.954712E+00 -1.339991E+00
  2.261806E+00  1.962143E+00 -1.339991E+00
  2.260361E+00  1.969574E+00 -1.339991E+00
  2.259025E+00  1.974089E+00 -1.339991E+00
  2.258162E+00  1.977005E+00 -1.339991E+00
  2.256345E+00  1.984436E+00 -1.339991E+00
  2.254771E+00  1.991867E+00 -1.339991E+00
  2.253418E+00  1.999298E+00 -1.339991E+00
  2.252182E+00  2.006729E+00 -1.339991E+00
  2.251594E+00  2.009358E+00 -1.339991E+00
  2.250490E+00  2.014160E+00 -1.339991E+00
  2.248306E+00  2.021591E+00 -1.339991E+00
  2.246312E+00  2.029022E+00 -1.339991E+00
  2.244447E+00  2.036453E+00 -1.339991E+00
  2.244163E+00  2.037598E+00 -1.339991E+00
  2.242490E+00  2.043884E+00 -1.339991E+00
  2.239968E+00  2.051315E+00 -1.339991E+00
  2.237069E+00  2.058746E+00 -1.339991E+00
  2.236732E+00  2.059782E+00 -1.339991E+00
  2.234324E+00  2.066177E+00 -1.339991E+00
  2.231886E+00  2.073608E+00 -1.339991E+00
  2.229381E+00  2.081039E+00 -1.339991E+00
  2.229301E+00  2.081208E+00 -1.339991E+00
  2.224815E+00  2.088470E+00 -1.339991E+00
  2.221870E+00  2.093615E+00 -1.339991E+00
  2.220163E+00  2.095901E+00 -1.339991E+00
  2.215786E+00  2.103332E+00 -1.339991E+00
  2.214439E+00  2.106427E+00 -1.339991E+00
  2.211806E+00  2.110763E+00 -1.339991E+00
  2.207008E+00  2.116919E+00 -1.339991E+00
  2.205877E+00  2.118194E+00 -1.339991E+00
  2.199577E+00  2.123444E+00 -1.339991E+00
  2.197073E+00  2.125625E+00 -1.339991E+00
  2.192146E+00  2.129148E+00 -1.339991E+00
  2.186824E+00  2.133056E+00 -1.339991E+00
  2.184715E+00  2.134653E+00 -1.339991E+00
