Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000,  0.000000,  3.115266E-01,  2.827898E+00,  3.628186E+01, 1.000,   15
  0.000000,  0.000000,  3.209947E-01,  3.123056E+00,  3.755278E+00, 1.000,  115
  0.000000,  0.000000,  3.237184E-01,  3.197016E+00,  1.199075E+01, 1.000,   20
  0.000000,  0.000000,  3.302020E-01,  2.709492E+00, -9.671338E+00, 1.000,  128
  0.000000,  0.000000,  3.388490E-01,  2.560172E+00, -2.743426E+01, 1.000,   77
  0.000000,  0.000000,  3.582724E-01,  3.086933E+00, -4.806032E+01, 1.000,   83
  0.000000,  0.000000,  8.069477E-01,  5.592527E+00, -1.908440E+02, 1.000,   77
  0.000000,  2.500000,  3.432338E-01,  3.394320E+00,  4.071213E-01, 1.000,   84
  0.000000,  2.500000,  3.461009E-01,  3.037086E+00, -3.507312E+01, 1.000,   85
  0.000000,  2.500000,  3.479704E-01,  2.920452E+00, -7.071127E+00, 1.000,  141
  0.000000,  2.500000,  3.496100E-01,  2.878749E+00, -1.079988E+01, 1.000,  114
  0.000000,  2.500000,  7.426737E-01,  5.840049E+00, -1.806789E+02, 1.000,    1
  0.000000,  2.500000,  7.985333E-01,  6.192270E+00, -2.311443E+02, 1.000,   74
  0.000000,  5.000000,  3.374536E-01,  2.968143E+00, -2.433842E+01, 1.000,   83
  0.000000,  5.000000,  3.671579E-01,  3.582562E+00,  3.537824E+00, 1.000,  127
  0.000000,  5.000000,  3.691199E-01,  3.125652E+00, -6.237852E+00, 1.000,  132
  0.000000,  5.000000,  3.735793E-01,  2.918920E+00, -2.327234E+01, 1.000,   85
  0.000000,  5.000000,  6.769739E-01,  6.394020E+00, -1.555403E+02, 1.000,    1
  0.000000,  5.000000,  6.940367E-01,  6.394252E+00, -1.576384E+02, 1.000,    1
  0.000000,  5.000000,  7.196943E-01,  6.397153E+00, -1.624367E+02, 1.000,    1
  0.000000,  5.000000,  7.660649E-01,  6.481943E+00, -2.148950E+02, 1.000,   74
  0.000000,  5.000000,  7.973842E-01,  6.602997E+00, -2.501008E+02, 1.000,    1
  0.000000,  7.500000,  3.296218E-01,  2.866424E+00, -1.887305E+01, 1.000,   78
  0.000000,  7.500000,  3.947709E-01,  3.469839E+00, -9.086337E+00, 1.000,   62
  0.000000,  7.500000,  3.953767E-01,  3.751053E+00,  3.393301E-01, 1.000,  208
  0.000000,  7.500000,  3.972519E-01,  3.149419E+00, -2.629100E+01, 1.000,   63
  0.000000,  7.500000,  7.058939E-01,  6.361803E+00, -1.488560E+02, 1.000,   77
  0.000000, 10.000000,  3.211266E-01,  2.602215E+00, -4.211968E+01, 1.000,    5
  0.000000, 10.000000,  3.213470E-01,  2.774545E+00, -1.216685E+01, 1.000,  126
  0.000000, 10.000000,  4.227049E-01,  3.317252E+00, -3.081975E+01, 1.000,    2
  0.000000, 10.000000,  4.255296E-01,  3.791177E+00, -7.968207E+00, 1.000,   27
  0.000000, 10.000000,  4.299637E-01,  4.074622E+00, -9.772700E+00, 1.000,  136
