14	-11.36572	-0.84554	-0.82136	-0.81916	 3.19436	 4.51225	 4.55615	 4.56863	 7.98624	 8.79265	 9.77013	 9.77328	 9.77919	 9.79279	 10.08189	 10.08840	 10.09663	 10.09767	 10.09787	 10.09789	 10.09801	 10.09807	 10.09809	 10.09812	 10.09815	 10.09821	 10.09830	 10.09837	 10.09848	 10.09872	 10.10302	 10.11226	
15	-11.36117	-0.85133	-0.82362	-0.82119	 3.19997	 4.50886	 4.55970	 4.57289	 7.98500	 8.78639	 9.76952	 9.77287	 9.77936	 9.79350	 10.08100	 10.08807	 10.09654	 10.09764	 10.09785	 10.09788	 10.09800	 10.09807	 10.09809	 10.09812	 10.09816	 10.09821	 10.09831	 10.09839	 10.09850	 10.09878	 10.10327	 10.11322	
16	-11.35638	-0.85756	-0.82606	-0.82340	 3.20602	 4.50521	 4.56357	 4.57743	 7.98364	 8.77968	 9.76892	 9.77245	 9.77954	 9.79421	 10.08012	 10.08778	 10.09644	 10.09762	 10.09784	 10.09787	 10.09800	 10.09807	 10.09809	 10.09812	 10.09816	 10.09822	 10.09832	 10.09840	 10.09852	 10.09883	 10.10347	 10.11417	
17	-11.35145	-0.86411	-0.82862	-0.82574	 3.21238	 4.50136	 4.56766	 4.58217	 7.98220	 8.77266	 9.76832	 9.77203	 9.77974	 9.79491	 10.07928	 10.08753	 10.09633	 10.09759	 10.09782	 10.09785	 10.09799	 10.09807	 10.09809	 10.09812	 10.09817	 10.09823	 10.09833	 10.09842	 10.09854	 10.09888	 10.10364	 10.11508	
18	-11.34631	-0.87108	-0.83136	-0.82825	 3.21917	 4.49726	 4.57205	 4.58719	 7.98063	 8.76521	 9.76772	 9.77161	 9.77995	 9.79561	 10.07846	 10.08731	 10.09622	 10.09756	 10.09780	 10.09784	 10.09799	 10.09806	 10.09809	 10.09812	 10.09817	 10.09823	 10.09833	 10.09843	 10.09856	 10.09893	 10.10378	 10.11597	
19	-11.34107	-0.87836	-0.83422	-0.83089	 3.22627	 4.49297	 4.57667	 4.59240	 7.97896	 8.75747	 9.76713	 9.77120	 9.78017	 9.79629	 10.07768	 10.08711	 10.09611	 10.09754	 10.09779	 10.09784	 10.09799	 10.09806	 10.09809	 10.09812	 10.09818	 10.09824	 10.09834	 10.09845	 10.09858	 10.09899	 10.10388	 10.11683	
20	-11.33565	-0.88607	-0.83726	-0.83370	 3.23380	 4.48842	 4.58159	 4.59789	 7.97715	 8.74933	 9.76653	 9.77079	 9.78041	 9.79698	 10.07692	 10.08694	 10.09599	 10.09752	 10.09777	 10.09783	 10.09798	 10.09806	 10.09809	 10.09812	 10.09818	 10.09824	 10.09835	 10.09846	 10.09860	 10.09904	 10.10394	 10.11767	
21	-11.33024	-0.89398	-0.84039	-0.83662	 3.24155	 4.48374	 4.58667	 4.60351	 7.97524	 8.74103	 9.76595	 9.77040	 9.78066	 9.79764	 10.07620	 10.08680	 10.09587	 10.09750	 10.09776	 10.09782	 10.09798	 10.09805	 10.09808	 10.09813	 10.09819	 10.09825	 10.09835	 10.09847	 10.09861	 10.09908	 10.10398	 10.11845	
22	-11.32464	-0.90240	-0.84373	-0.83975	 3.24981	 4.47876	 4.59210	 4.60946	 7.97315	 8.73226	 9.76535	 9.77002	 9.78093	 9.79832	 10.07551	 10.08667	 10.09575	 10.09748	 10.09775	 10.09781	 10.09797	 10.09805	 10.09808	 10.09813	 10.09819	 10.09825	 10.09836	 10.09848	 10.09862	 10.09913	 10.10399	 10.11923	
23	-11.31898	-0.91117	-0.84721	-0.84304	 3.25842	 4.47356	 4.59778	 4.61565	 7.97091	 8.72321	 9.76476	 9.76965	 9.78121	 9.79898	 10.07484	 10.08656	 10.09562	 10.09746	 10.09773	 10.09780	 10.09797	 10.09805	 10.09808	 10.09813	 10.09820	 10.09826	 10.09836	 10.09849	 10.09864	 10.09917	 10.10397	 10.11997	
24	-11.31340	-0.92011	-0.85077	-0.84642	 3.26722	 4.46825	 4.60359	 4.62194	 7.96854	 8.71407	 9.76418	 9.76932	 9.78150	 9.79963	 10.07422	 10.08646	 10.09549	 10.09744	 10.09772	 10.09780	 10.09797	 10.09804	 10.09808	 10.09813	 10.09820	 10.09826	 10.09837	 10.09850	 10.09865	 10.09922	 10.10393	 10.12067	
25	-11.30769	-0.92955	-0.85455	-0.85002	 3.27653	 4.46262	 4.60976	 4.62858	 7.96595	 8.70452	 9.76358	 9.76899	 9.78180	 9.80029	 10.07362	 10.08636	 10.09536	 10.09742	 10.09771	 10.09779	 10.09796	 10.09804	 10.09808	 10.09813	 10.09821	 10.09827	 10.09837	 10.09851	 10.09866	 10.09925	 10.10387	 10.12135	
26	-11.30198	-0.93933	-0.85847	-0.85378	 3.28619	 4.45678	 4.61617	 4.63545	 7.96317	 8.69476	 9.76300	 9.76870	 9.78211	 9.80095	 10.07306	 10.08627	 10.09523	 10.09741	 10.09770	 10.09779	 10.09796	 10.09803	 10.09808	 10.09813	 10.09821	 10.09827	 10.09837	 10.09852	 10.09866	 10.09929	 10.10380	 10.12199	
