  300.00 -6.82766 -3.21074e-02 -3.47430e-02 -3.47430e-02  8.44685e-03  8.44684e-03  1.10770e-02
  300.00 -6.80160 -3.19238e-02 -3.45444e-02 -3.45444e-02  8.39850e-03  8.39849e-03  1.10136e-02
  300.00 -6.77555 -3.17403e-02 -3.43458e-02 -3.43458e-02  8.35014e-03  8.35014e-03  1.09503e-02
  300.00 -6.74950 -3.15567e-02 -3.41472e-02 -3.41472e-02  8.30179e-03  8.30178e-03  1.08869e-02
  300.00 -6.72345 -3.13732e-02 -3.39487e-02 -3.39487e-02  8.25344e-03  8.25343e-03  1.08235e-02
  300.00 -6.69739 -3.11896e-02 -3.37501e-02 -3.37501e-02  8.20508e-03  8.20508e-03  1.07601e-02
  300.00 -6.67134 -3.10061e-02 -3.35515e-02 -3.35515e-02  8.15673e-03  8.15672e-03  1.06967e-02
  300.00 -6.64529 -3.08225e-02 -3.33530e-02 -3.33530e-02  8.10838e-03  8.10837e-03  1.06334e-02
  300.00 -6.61924 -3.06390e-02 -3.31544e-02 -3.31544e-02  8.06002e-03  8.06002e-03  1.05700e-02
  300.00 -6.59319 -3.04554e-02 -3.29558e-02 -3.29558e-02  8.01167e-03  8.01166e-03  1.05066e-02
  300.00 -6.56713 -3.02719e-02 -3.27572e-02 -3.27572e-02  7.96332e-03  7.96331e-03  1.04432e-02
  300.00 -6.54108 -3.00883e-02 -3.25587e-02 -3.25587e-02  7.91496e-03  7.91496e-03  1.03799e-02
  300.00 -6.51503 -2.99048e-02 -3.23601e-02 -3.23601e-02  7.86661e-03  7.86660e-03  1.03165e-02
  300.00 -6.48898 -2.97212e-02 -3.21615e-02 -3.21615e-02  7.81826e-03  7.81825e-03  1.02531e-02
  300.00 -6.46293 -2.95377e-02 -3.19630e-02 -3.19630e-02  7.76990e-03  7.76990e-03  1.01897e-02
  300.00 -6.43687 -2.93541e-02 -3.17644e-02 -3.17644e-02  7.72155e-03  7.72154e-03  1.01263e-02
  300.00 -6.41082 -2.91706e-02 -3.15658e-02 -3.15658e-02  7.67320e-03  7.67319e-03  1.00630e-02
  300.00 -6.38477 -2.89871e-02 -3.13672e-02 -3.13672e-02  7.62484e-03  7.62484e-03  9.99959e-03
  300.00 -6.35872 -2.88035e-02 -3.11687e-02 -3.11687e-02  7.57649e-03  7.57648e-03  9.93621e-03
  300.00 -6.33267 -2.86200e-02 -3.09701e-02 -3.09701e-02  7.52814e-03  7.52813e-03  9.87283e-03
  300.00 -6.30661 -2.84364e-02 -3.07715e-02 -3.07715e-02  7.47978e-03  7.47978e-03  9.80946e-03
  300.00 -6.28056 -2.82529e-02 -3.05730e-02 -3.05730e-02  7.43143e-03  7.43142e-03  9.74608e-03
  300.00 -6.25451 -2.80693e-02 -3.03744e-02 -3.03744e-02  7.38308e-03  7.38307e-03  9.68270e-03
  300.00 -6.22846 -2.78858e-02 -3.01758e-02 -3.01758e-02  7.33472e-03  7.33472e-03  9.61932e-03
  300.00 -6.20240 -2.77022e-02 -2.99772e-02 -2.99772e-02  7.28637e-03  7.28637e-03  9.55594e-03
  300.00 -6.17635 -2.75187e-02 -2.97787e-02 -2.97787e-02  7.23802e-03  7.23801e-03  9.49257e-03
  300.00 -6.15030 -2.73351e-02 -2.95801e-02 -2.95801e-02  7.18966e-03  7.18966e-03  9.42919e-03
  300.00 -6.12425 -2.71516e-02 -2.93815e-02 -2.93815e-02  7.14131e-03  7.14131e-03  9.36581e-03
  300.00 -6.09820 -2.69680e-02 -2.91830e-02 -2.91830e-02  7.09296e-03  7.09295e-03  9.30243e-03
  300.00 -6.07214 -2.67845e-02 -2.89844e-02 -2.89844e-02  7.04460e-03  7.04460e-03  9.23906e-03
  300.00 -6.04609 -2.66009e-02 -2.87858e-02 -2.87858e-02  6.99625e-03  6.99625e-03  9.17568e-03
  300.00 -6.02004 -2.64174e-02 -2.85872e-02 -2.85872e-02  6.94790e-03  6.94789e-03  9.11230e-03
  300.00 -5.99399 -2.62339e-02 -2.83887e-02 -2.83887e-02  6.89954e-03  6.89954e-03  9.04892e-03
  300.00 -5.96794 -2.60503e-02 -2.81901e-02 -2.81901e-02  6.85119e-03  6.85119e-03  8.98555e-03
  300.00 -5.94188 -2.58668e-02 -2.79915e-02 -2.79915e-02  6.80284e-03  6.80283e-03  8.92217e-03
  300.00 -5.91583 -2.56832e-02 -2.77930e-02 -2.77930e-02  6.75448e-03  6.75448e-03  8.85879e-03
  300.00 -5.88978 -2.54997e-02 -2.75944e-02 -2.75944e-02  6.70613e-03  6.70613e-03  8.79541e-03
  300.00 -5.86373 -2.53161e-02 -2.73958e-02 -2.73958e-02  6.65778e-03  6.65777e-03  8.73204e-03
  300.00 -5.83768 -2.51326e-02 -2.71972e-02 -2.71972e-02  6.60942e-03  6.60942e-03  8.66866e-03
  300.00 -5.81162 -2.49490e-02 -2.69987e-02 -2.69987e-02  6.56107e-03  6.56107e-03  8.60528e-03
  300.00 -5.78557 -2.47655e-02 -2.68001e-02 -2.68001e-02  6.51272e-03  6.51271e-03  8.54190e-03
  300.00 -5.75952 -2.45819e-02 -2.66015e-02 -2.66015e-02  6.46436e-03  6.46436e-03  8.47853e-03
  300.00 -5.73347 -2.43984e-02 -2.64030e-02 -2.64030e-02  6.41601e-03  6.41601e-03  8.41515e-03
  300.00 -5.70741 -2.42148e-02 -2.62044e-02 -2.62044e-02  6.36766e-03  6.36765e-03  8.35177e-03
  300.00 -5.68136 -2.40313e-02 -2.60058e-02 -2.60058e-02  6.31930e-03  6.31930e-03  8.28839e-03
  300.00 -5.65531 -2.38477e-02 -2.58073e-02 -2.58072e-02  6.27095e-03  6.27095e-03  8.22501e-03
  300.00 -5.62926 -2.36642e-02 -2.56087e-02 -2.56087e-02  6.22260e-03  6.22259e-03  8.16164e-03
  300.00 -5.60321 -2.34806e-02 -2.54101e-02 -2.54101e-02  6.17424e-03  6.17424e-03  8.09826e-03
  300.00 -5.57715 -2.32971e-02 -2.52115e-02 -2.52115e-02  6.12589e-03  6.12589e-03  8.03488e-03
  300.00 -5.55110 -2.31136e-02 -2.50130e-02 -2.50130e-02  6.07754e-03  6.07753e-03  7.97150e-03
  300.00 -5.52505 -2.29300e-02 -2.48144e-02 -2.48144e-02  6.02918e-03  6.02918e-03  7.90813e-03
  300.00 -5.49900 -2.27465e-02 -2.46158e-02 -2.46158e-02  5.98083e-03  5.98083e-03  7.84475e-03
  300.00 -5.47295 -2.25629e-02 -2.44173e-02 -2.44172e-02  5.93248e-03  5.93247e-03  7.78137e-03
  300.00 -5.44689 -2.23794e-02 -2.42187e-02 -2.42187e-02  5.88412e-03  5.88412e-03  7.71799e-03
  300.00 -5.42084 -2.21958e-02 -2.40201e-02 -2.40201e-02  5.83577e-03  5.83577e-03  7.65462e-03
  300.00 -5.39479 -2.20123e-02 -2.38215e-02 -2.38215e-02  5.78742e-03  5.78741e-03  7.59124e-03
  300.00 -5.36874 -2.18287e-02 -2.36230e-02 -2.36230e-02  5.73906e-03  5.73906e-03  7.52786e-03
  300.00 -5.34269 -2.16452e-02 -2.34244e-02 -2.34244e-02  5.69071e-03  5.69071e-03  7.46448e-03
  300.00 -5.31663 -2.14616e-02 -2.32258e-02 -2.32258e-02  5.64236e-03  5.64235e-03  7.40111e-03
  300.00 -5.29058 -2.12781e-02 -2.30273e-02 -2.30272e-02  5.59400e-03  5.59400e-03  7.33773e-03
  300.00 -5.26453 -2.10945e-02 -2.28287e-02 -2.28287e-02  5.54565e-03  5.54565e-03  7.27435e-03
  300.00 -5.23848 -2.09110e-02 -2.26301e-02 -2.26301e-02  5.49730e-03  5.49729e-03  7.21097e-03
  300.00 -5.21242 -2.07274e-02 -2.24315e-02 -2.24315e-02  5.44894e-03  5.44894e-03  7.14760e-03
  300.00 -5.18637 -2.05439e-02 -2.22330e-02 -2.22330e-02  5.40059e-03  5.40059e-03  7.08422e-03
  300.00 -5.16032 -2.03603e-02 -2.20344e-02 -2.20344e-02  5.35224e-03  5.35223e-03  7.02084e-03
  300.00 -5.13427 -2.01768e-02 -2.18358e-02 -2.18358e-02  5.30388e-03  5.30388e-03  6.95746e-03
  300.00 -5.10822 -1.99933e-02 -2.16373e-02 -2.16372e-02  5.25553e-03  5.25553e-03  6.89408e-03
  300.00 -5.08216 -1.98097e-02 -2.14387e-02 -2.14387e-02  5.20718e-03  5.20717e-03  6.83071e-03
  300.00 -5.05611 -1.96262e-02 -2.12401e-02 -2.12401e-02  5.15882e-03  5.15882e-03  6.76733e-03
  300.00 -5.03006 -1.94426e-02 -2.10415e-02 -2.10415e-02  5.11047e-03  5.11047e-03  6.70395e-03
  300.00 -5.00401 -1.92591e-02 -2.08430e-02 -2.08430e-02  5.06212e-03  5.06211e-03  6.64057e-03
  300.00 -4.97796 -1.90755e-02 -2.06444e-02 -2.06444e-02  5.01376e-03  5.01376e-03  6.57720e-03
  300.00 -4.95190 -1.88920e-02 -2.04458e-02 -2.04458e-02  4.96541e-03  4.96541e-03  6.51382e-03
  300.00 -4.92585 -1.87084e-02 -2.02473e-02 -2.02473e-02  4.91706e-03  4.91705e-03  6.45044e-03
  300.00 -4.89980 -1.85249e-02 -2.00487e-02 -2.00487e-02  4.86870e-03  4.86870e-03  6.38706e-03
  300.00 -4.87375 -1.83413e-02 -1.98501e-02 -1.98501e-02  4.82035e-03  4.82035e-03  6.32369e-03
  300.00 -4.84770 -1.81578e-02 -1.96515e-02 -1.96515e-02  4.77200e-03  4.77199e-03  6.26031e-03
  300.00 -4.82164 -1.79742e-02 -1.94530e-02 -1.94530e-02  4.72364e-03  4.72364e-03  6.19693e-03
  300.00 -4.79559 -1.77907e-02 -1.92544e-02 -1.92544e-02  4.67529e-03  4.67529e-03  6.13355e-03
  300.00 -4.76954 -1.76071e-02 -1.90558e-02 -1.90558e-02  4.62694e-03  4.62693e-03  6.07018e-03
  300.00 -4.74349 -1.74236e-02 -1.88573e-02 -1.88573e-02  4.57858e-03  4.57858e-03  6.00680e-03
  300.00 -4.71743 -1.72400e-02 -1.86587e-02 -1.86587e-02  4.53023e-03  4.53023e-03  5.94342e-03
  300.00 -4.69138 -1.70565e-02 -1.84601e-02 -1.84601e-02  4.48188e-03  4.48187e-03  5.88004e-03
  300.00 -4.66533 -1.68730e-02 -1.82615e-02 -1.82615e-02  4.43352e-03  4.43352e-03  5.81667e-03
  300.00 -4.63928 -1.66894e-02 -1.80630e-02 -1.80630e-02  4.38517e-03  4.38517e-03  5.75329e-03
  300.00 -4.61323 -1.65059e-02 -1.78644e-02 -1.78644e-02  4.33682e-03  4.33681e-03  5.68991e-03
  300.00 -4.58717 -1.63223e-02 -1.76658e-02 -1.76658e-02  4.28846e-03  4.28846e-03  5.62653e-03
  300.00 -4.56112 -1.61388e-02 -1.74673e-02 -1.74673e-02  4.24011e-03  4.24011e-03  5.56315e-03
  300.00 -4.53507 -1.59552e-02 -1.72687e-02 -1.72687e-02  4.19176e-03  4.19175e-03  5.49978e-03
