  300.00 -6.82766  1.60853e-59  2.00215e-59  2.00215e-59 -1.19730e-59 -1.19730e-59  1.39783e-59
  300.00 -6.80160  4.35618e-59  5.42218e-59  5.42218e-59 -3.24246e-59 -3.24246e-59  3.78554e-59
  300.00 -6.77555  1.17965e-58  1.46833e-58  1.46833e-58 -8.78043e-59 -8.78043e-59  1.02511e-58
  300.00 -6.74950  3.19429e-58  3.97598e-58  3.97598e-58 -2.37754e-58 -2.37754e-58  2.77579e-58
  300.00 -6.72345  8.64896e-58  1.07655e-57  1.07655e-57 -6.43740e-58 -6.43740e-58  7.51574e-58
  300.00 -6.69739  2.34166e-57  2.91472e-57  2.91472e-57 -1.74286e-57 -1.74286e-57  2.03483e-57
  300.00 -6.67134  6.33949e-57  7.89092e-57  7.89092e-57 -4.71831e-57 -4.71831e-57  5.50875e-57
  300.00 -6.64529  1.71614e-56  2.13613e-56  2.13613e-56 -1.27726e-56 -1.27726e-56  1.49124e-56
  300.00 -6.61924  4.64539e-56  5.78227e-56  5.78227e-56 -3.45732e-56 -3.45732e-56  4.03657e-56
  300.00 -6.59319  1.25736e-55  1.56508e-55  1.56508e-55 -9.35772e-56 -9.35772e-56  1.09256e-55
  300.00 -6.56713  3.40304e-55  4.23589e-55  4.23589e-55 -2.53261e-55 -2.53261e-55  2.95697e-55
  300.00 -6.54108  9.20960e-55  1.14636e-54  1.14636e-54 -6.85386e-55 -6.85386e-55  8.00231e-55
  300.00 -6.51503  2.49220e-54  3.10215e-54  3.10215e-54 -1.85468e-54 -1.85468e-54  2.16547e-54
  300.00 -6.48898  6.74360e-54  8.39409e-54  8.39409e-54 -5.01846e-54 -5.01846e-54  5.85945e-54
  300.00 -6.46293  1.82460e-53  2.27118e-53  2.27118e-53 -1.35781e-53 -1.35781e-53  1.58536e-53
  300.00 -6.43687  4.93640e-53  6.14462e-53  6.14462e-53 -3.67344e-53 -3.67344e-53  4.28909e-53
  300.00 -6.41082  1.33542e-52  1.66228e-52  1.66228e-52 -9.93741e-53 -9.93741e-53  1.16029e-52
  300.00 -6.38477  3.61238e-52  4.49656e-52  4.49656e-52 -2.68806e-52 -2.68806e-52  3.13861e-52
  300.00 -6.35872  9.77086e-52  1.21624e-51  1.21624e-51 -7.27060e-52 -7.27060e-52  8.48929e-52
  300.00 -6.33267  2.64263e-51  3.28947e-51  3.28947e-51 -1.96637e-51 -1.96637e-51  2.29599e-51
  300.00 -6.30661  7.14670e-51  8.89603e-51  8.89603e-51 -5.31772e-51 -5.31772e-51  6.20916e-51
  300.00 -6.28056  1.93258e-50  2.40564e-50  2.40564e-50 -1.43797e-50 -1.43797e-50  1.67903e-50
  300.00 -6.25451  5.22557e-50  6.50469e-50  6.50469e-50 -3.88808e-50 -3.88808e-50  4.53993e-50
  300.00 -6.22846  1.41284e-49  1.75868e-49  1.75868e-49 -1.05120e-49 -1.05120e-49  1.22745e-49
  300.00 -6.20240  3.81956e-49  4.75454e-49  4.75454e-49 -2.84182e-49 -2.84182e-49  3.31831e-49
  300.00 -6.17635  1.03251e-48  1.28527e-48  1.28527e-48 -7.68193e-49 -7.68193e-49  8.97004e-49
  300.00 -6.15030  2.79087e-48  3.47407e-48  3.47407e-48 -2.07637e-48 -2.07637e-48  2.42456e-48
  300.00 -6.12425  7.54301e-48  9.38956e-48  9.38956e-48 -5.61177e-48 -5.61177e-48  6.55286e-48
  300.00 -6.09820  2.03850e-47  2.53753e-47  2.53753e-47 -1.51655e-47 -1.51655e-47  1.77088e-47
  300.00 -6.07214  5.50852e-47  6.85707e-47  6.85707e-47 -4.09799e-47 -4.09799e-47  4.78530e-47
  300.00 -6.04609  1.48840e-46  1.85278e-46  1.85278e-46 -1.10725e-46 -1.10725e-46  1.29297e-46
  300.00 -6.02004  4.02126e-46  5.00574e-46  5.00574e-46 -2.99143e-46 -2.99143e-46  3.49320e-46
  300.00 -5.99399  1.08633e-45  1.35229e-45  1.35229e-45 -8.08107e-46 -8.08107e-46  9.43665e-46
  300.00 -5.96794  2.93442e-45  3.65285e-45  3.65285e-45 -2.18282e-45 -2.18282e-45  2.54900e-45
  300.00 -5.94188  7.92570e-45  9.86616e-45  9.86616e-45 -5.89552e-45 -5.89552e-45  6.88460e-45
  300.00 -5.91583  2.14047e-44  2.66454e-44  2.66454e-44 -1.59215e-44 -1.59215e-44  1.85927e-44
  300.00 -5.88978  5.78012e-44  7.19533e-44  7.19533e-44 -4.29932e-44 -4.29932e-44  5.02070e-44
  300.00 -5.86373  1.56070e-43  1.94283e-43  1.94283e-43 -1.16084e-43 -1.16084e-43  1.35562e-43
  300.00 -5.83768  4.21362e-43  5.24533e-43  5.24533e-43 -3.13398e-43 -3.13398e-43  3.65990e-43
  300.00 -5.81162  1.13749e-42  1.41601e-42  1.41601e-42 -8.46010e-43 -8.46010e-43  9.87989e-43
  300.00 -5.78557  3.07036e-42  3.82217e-42  3.82217e-42 -2.28353e-42 -2.28353e-42  2.66679e-42
  300.00 -5.75952  8.28677e-42  1.03159e-41  1.03159e-41 -6.16299e-42 -6.16299e-42  7.19741e-42
  300.00 -5.73347  2.23631e-41  2.78392e-41  2.78392e-41 -1.66313e-41 -1.66313e-41  1.94230e-41
  300.00 -5.70741  6.03435e-41  7.51202e-41  7.51202e-41 -4.48759e-41 -4.48759e-41  5.24091e-41
  300.00 -5.68136  1.62809e-40  2.02678e-40  2.02678e-40 -1.21073e-40 -1.21073e-40  1.41399e-40
  300.00 -5.65531  4.39214e-40  5.46772e-40  5.46772e-40 -3.26614e-40 -3.26614e-40  3.81449e-40
  300.00 -5.62926  1.18474e-39  1.47487e-39  1.47487e-39 -8.80984e-40 -8.80984e-40  1.02890e-39
  300.00 -5.60321  3.19534e-39  3.97787e-39  3.97787e-39 -2.37601e-39 -2.37601e-39  2.77499e-39
  300.00 -5.57715  8.61703e-39  1.07274e-38  1.07274e-38 -6.40733e-39 -6.40733e-39  7.48331e-39
  300.00 -5.55110  2.32351e-38  2.89256e-38  2.89256e-38 -1.72763e-38 -1.72763e-38  2.01777e-38
  300.00 -5.52505  6.26436e-38  7.79860e-38  7.79860e-38 -4.65768e-38 -4.65768e-38  5.43996e-38
  300.00 -5.49900  1.68870e-37  2.10230e-37  2.10230e-37 -1.25555e-37 -1.25555e-37  1.46644e-37
  300.00 -5.47295  4.55170e-37  5.66653e-37  5.66653e-37 -3.38406e-37 -3.38406e-37  3.95253e-37
  300.00 -5.44689  1.22669e-36  1.52715e-36  1.52715e-36 -9.11984e-37 -9.11984e-37  1.06519e-36
  300.00 -5.42084  3.30553e-36  4.11518e-36  4.11518e-36 -2.45741e-36 -2.45741e-36  2.87028e-36
  300.00 -5.39479  8.90606e-36  1.10876e-35  1.10876e-35 -6.62075e-36 -6.62075e-36  7.73320e-36
  300.00 -5.36874  2.39922e-35  2.98691e-35  2.98691e-35 -1.78352e-35 -1.78352e-35  2.08322e-35
  300.00 -5.34269  6.46239e-35  8.04540e-35  8.04540e-35 -4.80380e-35 -4.80380e-35  5.61110e-35
  300.00 -5.31663  1.74042e-34  2.16676e-34  2.16676e-34 -1.29369e-34 -1.29369e-34  1.51112e-34
  300.00 -5.29058  4.68653e-34  5.83459e-34  5.83459e-34 -3.48347e-34 -3.48347e-34  4.06898e-34
  300.00 -5.26453  1.26178e-33  1.57089e-33  1.57089e-33 -9.37840e-34 -9.37840e-34  1.09549e-33
  300.00 -5.23848  3.39665e-33  4.22878e-33  4.22878e-33 -2.52452e-33 -2.52452e-33  2.94893e-33
  300.00 -5.21242  9.14220e-33  1.13820e-32  1.13820e-32 -6.79458e-33 -6.79458e-33  7.93696e-33
  300.00 -5.18637  2.46027e-32  3.06303e-32  3.06303e-32 -1.82843e-32 -1.82843e-32  2.13587e-32
  300.00 -5.16032  6.61980e-32  8.24170e-32  8.24170e-32 -4.91953e-32 -4.91953e-32  5.74681e-32
  300.00 -5.13427  1.78089e-31  2.21723e-31  2.21723e-31 -1.32342e-31 -1.32342e-31  1.54599e-31
  300.00 -5.10822  4.79024e-31  5.96395e-31  5.96395e-31 -3.55959e-31 -3.55959e-31  4.15831e-31
  300.00 -5.08216  1.28826e-30  1.60392e-30  1.60392e-30 -9.57259e-31 -9.57259e-31  1.11828e-30
  300.00 -5.05611  3.46399e-30  4.31280e-30  4.31280e-30 -2.57385e-30 -2.57385e-30  3.00686e-30
  300.00 -5.03006  9.31266e-30  1.15947e-29  1.15947e-29 -6.91929e-30 -6.91929e-30  8.08346e-30
  300.00 -5.00401  2.50318e-29  3.11660e-29  3.11660e-29 -1.85978e-29 -1.85978e-29  2.17272e-29
  300.00 -4.97796  6.72718e-29  8.37575e-29  8.37575e-29 -4.99784e-29 -4.99784e-29  5.83892e-29
  300.00 -4.95190  1.80756e-28  2.25054e-28  2.25054e-28 -1.34283e-28 -1.34283e-28  1.56884e-28
  300.00 -4.92585  4.85592e-28  6.04599e-28  6.04599e-28 -3.60728e-28 -3.60728e-28  4.21449e-28
  300.00 -4.89980  1.30426e-27  1.62392e-27  1.62392e-27 -9.68844e-28 -9.68844e-28  1.13195e-27
  300.00 -4.87375  3.50247e-27  4.36092e-27  4.36092e-27 -2.60161e-27 -2.60161e-27  3.03964e-27
  300.00 -4.84770  9.40367e-27  1.17086e-26  1.17086e-26 -6.98462e-27 -6.98462e-27  8.16075e-27
  300.00 -4.82164  2.52424e-26  3.14297e-26  3.14297e-26 -1.87480e-26 -1.87480e-26  2.19053e-26
  300.00 -4.79559  6.77445e-26  8.43503e-26  8.43503e-26 -5.03124e-26 -5.03124e-26  5.87866e-26
  300.00 -4.76954  1.81771e-25  2.26329e-25  2.26329e-25 -1.34990e-25 -1.34990e-25  1.57730e-25
  300.00 -4.74349  4.87620e-25  6.07156e-25  6.07156e-25 -3.62106e-25 -3.62106e-25  4.23113e-25
  300.00 -4.71743  1.30780e-24  1.62841e-24  1.62841e-24 -9.71118e-25 -9.71118e-25  1.13475e-24
  300.00 -4.69138  3.50674e-24  4.36646e-24  4.36646e-24 -2.60381e-24 -2.60381e-24  3.04261e-24
  300.00 -4.66533  9.40079e-24  1.17056e-23  1.17056e-23 -6.97984e-24 -6.97984e-24  8.15628e-24
  300.00 -4.63928  2.51955e-23  3.13730e-23  3.13730e-23 -1.87059e-23 -1.87059e-23  2.18592e-23
  300.00 -4.61323  6.75113e-23  8.40648e-23  8.40648e-23 -5.01194e-23 -5.01194e-23  5.85694e-23
  300.00 -4.58717  1.80852e-22  2.25198e-22  2.25198e-22 -1.34253e-22 -1.34253e-22  1.56892e-22
  300.00 -4.56112  4.84350e-22  6.03121e-22  6.03121e-22 -3.59529e-22 -3.59529e-22  4.20164e-22
  300.00 -4.53507  1.29683e-21  1.61485e-21  1.61485e-21 -9.62566e-22 -9.62566e-22  1.12493e-21
  300.00 -4.50902  3.47131e-21  4.32261e-21  4.32261e-21 -2.57639e-21 -2.57639e-21  3.01104e-21
  300.00 -4.48297  9.28933e-21  1.15676e-20  1.15676e-20 -6.89404e-21 -6.89404e-21  8.05729e-21
  300.00 -4.45691  2.48517e-20  3.09470e-20  3.09470e-20 -1.84423e-20 -1.84423e-20  2.15547e-20
  300.00 -4.43086  6.64667e-20  8.27696e-20  8.27696e-20 -4.93211e-20 -4.93211e-20  5.76461e-20
  300.00 -4.40481  1.77716e-19  2.21308e-19  2.21308e-19 -1.31863e-19 -1.31863e-19  1.54124e-19
  300.00 -4.37876  4.75028e-19  5.91555e-19  5.91555e-19 -3.52439e-19 -3.52439e-19  4.11949e-19
  300.00 -4.35271  1.26935e-18  1.58074e-18  1.58074e-18 -9.41696e-19 -9.41696e-19  1.10073e-18
  300.00 -4.32665  3.39082e-18  4.22270e-18  4.22270e-18 -2.51537e-18 -2.51537e-18  2.94026e-18
  300.00 -4.30060  9.05502e-18  1.12766e-17  1.12766e-17 -6.71663e-18 -6.71663e-18  7.85141e-18
  300.00 -4.27455  2.41731e-17  3.01042e-17  3.01042e-17 -1.79291e-17 -1.79291e-17  2.09588e-17
  300.00 -4.24850  6.45101e-17  8.03394e-17  8.03394e-17 -4.78428e-17 -4.78428e-17  5.59293e-17
  300.00 -4.22244  1.72097e-16  2.14328e-16  2.14328e-16 -1.27621e-16 -1.27621e-16  1.49197e-16
  300.00 -4.19639  4.58948e-16  5.71578e-16  5.71578e-16 -3.40311e-16 -3.40311e-16  3.97856e-16
  300.00 -4.17034  1.22348e-15  1.52375e-15  1.52375e-15 -9.07126e-16 -9.07126e-16  1.06055e-15
  300.00 -4.14429  3.26035e-15  4.06058e-15  4.06058e-15 -2.41710e-15 -2.41710e-15  2.82601e-15
  300.00 -4.11824  8.68491e-15  1.08167e-14  1.08167e-14 -6.43804e-15 -6.43804e-15  7.52745e-15
  300.00 -4.09218  2.31256e-14  2.88025e-14  2.88025e-14 -1.71411e-14 -1.71411e-14  2.00423e-14
  300.00 -4.06613  6.15524e-14  7.66633e-14  7.66633e-14 -4.56190e-14 -4.56190e-14  5.33422e-14
  300.00 -4.04008  1.63762e-13  2.03968e-13  2.03968e-13 -1.21358e-13 -1.21358e-13  1.41909e-13
  300.00 -4.01403  4.35506e-13  5.42438e-13  5.42438e-13 -3.22701e-13 -3.22701e-13  3.77363e-13
  300.00 -3.98798  1.15766e-12  1.44193e-12  1.44193e-12 -8.57707e-13 -8.57707e-13  1.00303e-12
  300.00 -3.96192  3.07588e-12  3.83124e-12  3.83124e-12 -2.27864e-12 -2.27864e-12  2.66483e-12
  300.00 -3.93587  8.16866e-12  1.01749e-11  1.01749e-11 -6.05069e-12 -6.05069e-12  7.07649e-12
  300.00 -3.90982  2.16830e-11  2.70088e-11  2.70088e-11 -1.60591e-11 -1.60591e-11  1.87825e-11
  300.00 -3.88377  5.75269e-11  7.16578e-11  7.16578e-11 -4.26006e-11 -4.26006e-11  4.98272e-11
  300.00 -3.85772  1.52544e-10  1.90019e-10  1.90019e-10 -1.12949e-10 -1.12949e-10  1.32116e-10
  300.00 -3.83166  4.04284e-10  5.03611e-10  5.03611e-10 -2.99305e-10 -2.99305e-10  3.50111e-10
  300.00 -3.80561  1.07087e-09  1.33399e-09  1.33399e-09 -7.92686e-10 -7.92686e-10  9.27290e-10
  300.00 -3.77956  2.83488e-09  3.53152e-09  3.53152e-09 -2.09815e-09 -2.09815e-09  2.45456e-09
  300.00 -3.75351  7.50027e-09  9.34357e-09  9.34357e-09 -5.55024e-09 -5.55024e-09  6.49341e-09
  300.00 -3.72745  1.98313e-08  2.47056e-08  2.47056e-08 -1.46729e-08 -1.46729e-08  1.71673e-08
  300.00 -3.70140  5.24019e-08  6.52834e-08  6.52834e-08 -3.87653e-08 -3.87653e-08  4.53579e-08
  300.00 -3.67535  1.38375e-07  1.72394e-07  1.72394e-07 -1.02348e-07 -1.02348e-07  1.19761e-07
  300.00 -3.64930  3.65147e-07  4.54930e-07  4.54930e-07 -2.70030e-07 -2.70030e-07  3.15992e-07
  300.00 -3.62325  9.62876e-07  1.19966e-06  1.19966e-06 -7.11926e-07 -7.11926e-07  8.33155e-07
  300.00 -3.59719  2.53718e-06  3.16118e-06  3.16118e-06 -1.87557e-06 -1.87557e-06  2.19509e-06
  300.00 -3.57114  6.68032e-06  8.32354e-06  8.32354e-06 -4.93733e-06 -4.93733e-06  5.77887e-06
